haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcuvuxakkoskara haMcu(V23)+vuxu_#_DAT+xakkoskara_xu_PUR
haMcuvuxaixagi haMcu(V23)+vuxu_#_DAT+xaixagi_xu_BEN
haMcuvuxaixagi haMcu(V23)+vuxu_#_DAT+xaixagi_xu_PUR
haMcuvuxakkosuga haMcu(V23)+vuxu_#_DAT+xakkosuga_xu_BEN
haMcuvuxakkosuga haMcu(V23)+vuxu_#_DAT+xakkosuga_xu_PUR
haMcuvuxakkiMwa haMcu(V23)+vuxu_#_DAT+xakkiMwa_xu_COMP
haMcuvaMweV haMcu(V23)+vaMweV_#_SIM
haMcuvaMwa haMcu(V23)+vaMwa_#_SIM
haMcuvaMwaha haMcu(V23)+vaMwaha_#_SIM
haMcuvuxaroVdaneV haMcu(V23)+vuxu_#_GEN+xaroVdaneV_xu_SOC
haMcuvuxaroVMxigeV haMcu(V23)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
haMcuvavanannu haMcu(V23)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
haMcuvavanannA haMcu(V23)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
haMcuvavanannU haMcu(V23)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
haMcuvavananno haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
haMcuvavananno haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
haMcuvavananno haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
haMcuvavananne haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
haMcuvavananne haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
haMcuvavananne haMcu(V23)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
haMcuvavaniMxa haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
haMcuvavaniMxalA haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
haMcuvavaniMxalU haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
haMcuvavanigeV haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
haMcuvavanigeVyA haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
haMcuvavanigeVyU haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
haMcuvavanigeVyo haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
haMcuvavanigeVyo haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
haMcuvavanigeVyo haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
haMcuvavanigeVye haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
haMcuvavanigeVye haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
haMcuvavanigeVye haMcu(V23)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
haMcuvavaniMxa  haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
haMcuvavaniMxalA haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
haMcuvavaniMxalU haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
haMcuvavaniMxalo haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
haMcuvavaniMxale haMcu(V23)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
haMcuvavana haMcu(V23)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
haMcuvavanalli haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
haMcuvavanalliyA haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
haMcuvavanalliyU haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
haMcuvavanalliyo haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
haMcuvavanalliyo haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
haMcuvavanalliyo haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
haMcuvavanalliye haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
haMcuvavanalliye haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
haMcuvavanalliye haMcu(V23)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
haMcuvavanigoskara haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
haMcuvavanigoskaravA haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
haMcuvavanigoskaravU haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
haMcuvavanigoskara haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
haMcuvavanigoskaravA haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
haMcuvavanigoskaravU haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
haMcuvavanigoskaravo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
haMcuvavanigoskarave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
haMcuvavanigAgi haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
haMcuvavanigAgiyA haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
haMcuvavanigAgiyU haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
haMcuvavanigAgi haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
haMcuvavanigAgiyA haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
haMcuvavanigAgiyU haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
haMcuvavanigAgiyo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
haMcuvavanigAgiye haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
haMcuvavanigosuga haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
haMcuvavanigosugavA haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
haMcuvavanigosugavU haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
haMcuvavanigosuga haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
haMcuvavanigosugavA haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
haMcuvavanigosugavU haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
haMcuvavanigosugavo haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
haMcuvavanigosugave haMcu(V23)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
haMcuvavanigiMwa haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
haMcuvavanigiMwalA haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
haMcuvavanigiMwalU haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
haMcuvavanigiMwalo haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
haMcuvavanigiMwalo haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
haMcuvavanigiMwalo haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
haMcuvavanigiMwale haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
haMcuvavanigiMwale haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
haMcuvavanigiMwale haMcu(V23)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
haMcuvavanaMweV haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
haMcuvavanaMweVyA haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
haMcuvavanaMweVyU haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
haMcuvavanaMweVyo haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
haMcuvavanaMweVyo haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
haMcuvavanaMweVyo haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
haMcuvavanaMweVye haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
haMcuvavanaMweVye haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
haMcuvavanaMweVye haMcu(V23)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
haMcuvavanoVdaneV haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
haMcuvavanoVdaneVyA haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
haMcuvavanoVdaneVyU haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
haMcuvavanoVdaneVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
haMcuvavanoVdaneVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
haMcuvavanoVdaneVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
haMcuvavanoVdaneVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
haMcuvavanoVdaneVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
haMcuvavanoVdaneVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
haMcuvavanoVMxigeV haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
haMcuvavanoVMxigeVyA haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
haMcuvavanoVMxigeVyU haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
haMcuvavanoVMxigeVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
haMcuvavanoVMxigeVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
haMcuvavanoVMxigeVyo haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
haMcuvavanoVMxigeVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
haMcuvavanoVMxigeVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
haMcuvavanoVMxigeVye haMcu(V23)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
haMcuvavalYannu haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
haMcuvavalYannA haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
haMcuvavalYannU haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
haMcuvavalYanno haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
haMcuvavalYanno haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
haMcuvavalYanno haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
haMcuvavalYanne haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
haMcuvavalYanne haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
haMcuvavalYanne haMcu(V23)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
haMcuvavalYiMxa haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
haMcuvavalYiMxalA haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
haMcuvavalYiMxalU haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
haMcuvavalYigeV haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
haMcuvavalYigeVyA haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
haMcuvavalYigeVyU haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
haMcuvavalYigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
haMcuvavalYigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
haMcuvavalYigeVyo haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
haMcuvavalYigeVye haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
haMcuvavalYigeVye haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
haMcuvavalYigeVye haMcu(V23)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
haMcuvavalYiMxa  haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
haMcuvavalYiMxalA haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
haMcuvavalYiMxalU haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
haMcuvavalYiMxalo haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
haMcuvavalYiMxale haMcu(V23)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
haMcuvavalYa haMcu(V23)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
haMcuvavalYalli haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
haMcuvavalYalliyA haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
haMcuvavalYalliyU haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
haMcuvavalYalliyo haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
haMcuvavalYalliyo haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
haMcuvavalYalliyo haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
haMcuvavalYalliye haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
haMcuvavalYalliye haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
haMcuvavalYalliye haMcu(V23)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
haMcuvavalYigoskara haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
haMcuvavalYigoskaravA haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
haMcuvavalYigoskaravU haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
haMcuvavalYigoskara haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
haMcuvavalYigoskaravA haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
haMcuvavalYigoskaravU haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
haMcuvavalYigoskaravo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
haMcuvavalYigoskarave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
haMcuvavalYigAgi haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
haMcuvavalYigAgiyA haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
haMcuvavalYigAgiyU haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
haMcuvavalYigAgi haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
haMcuvavalYigAgiyA haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
haMcuvavalYigAgiyU haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
haMcuvavalYigAgiyo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
haMcuvavalYigAgiye haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
haMcuvavalYigosuga haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
haMcuvavalYigosugavA haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
haMcuvavalYigosugavU haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
haMcuvavalYigosuga haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
haMcuvavalYigosugavA haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
haMcuvavalYigosugavU haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
haMcuvavalYigosugavo haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
haMcuvavalYigosugave haMcu(V23)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
haMcuvavalYigiMwa haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
haMcuvavalYigiMwalA haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
haMcuvavalYigiMwalU haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
haMcuvavalYigiMwalo haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
haMcuvavalYigiMwalo haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
haMcuvavalYigiMwalo haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
haMcuvavalYigiMwale haMcu(V23)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
