appixanu appu(V24)+ixa_u_PAST+anu_a_3SM   
appuvavaniMxa  appu(V24)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
appuvavaniMxalA appu(V24)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
appuvavaniMxalU appu(V24)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
appuvavana appu(V24)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
appuvavanalli appu(V24)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
appuvavanalliyA appu(V24)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
appuvavanalliyU appu(V24)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
appuvavanalliyo appu(V24)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
appuvavanalliyo appu(V24)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
appuvavanalliyo appu(V24)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
appuvavanalliye appu(V24)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
appuvavanalliye appu(V24)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
appuvavanalliye appu(V24)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
appuvavanigoskara appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
appuvavanigoskaravA appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
appuvavanigoskaravU appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
appuvavanigoskara appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
appuvavanigoskaravA appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
appuvavanigoskaravU appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
appuvavanigoskaravo appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
appuvavanigoskarave appu(V24)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
appuvavanigAgi appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
appuvavanigAgiyA appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
appuvavanigAgiyU appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
appuvavanigAgi appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
appuvavanigAgiyA appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
appuvavanigAgiyU appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
appuvavanigAgiyo appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
appuvavanigAgiye appu(V24)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
appuvavanigosuga appu(V24)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
appuvavanigosugavA appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
appuvavanigosugavU appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
appuvavanigosuga appu(V24)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
appuvavanigosugavA appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
appuvavanigosugavU appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
appuvavanigosugavo appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
appuvavanigosugave appu(V24)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
appuvavanigiMwa appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
appuvavanigiMwalA appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
appuvavanigiMwalU appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
appuvavanigiMwalo appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
appuvavanigiMwalo appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
appuvavanigiMwalo appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
appuvavanigiMwale appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
appuvavanigiMwale appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
appuvavanigiMwale appu(V24)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
appuvavanaMweV appu(V24)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
appuvavanaMweVyA appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
appuvavanaMweVyU appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
appuvavanaMweVyo appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
appuvavanaMweVyo appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
appuvavanaMweVyo appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
appuvavanaMweVye appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
appuvavanaMweVye appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
appuvavanaMweVye appu(V24)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
appuvavanoVdaneV appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
appuvavanoVdaneVyA appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
appuvavanoVdaneVyU appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
appuvavanoVdaneVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
appuvavanoVdaneVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
appuvavanoVdaneVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
appuvavanoVdaneVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
appuvavanoVdaneVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
appuvavanoVdaneVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
appuvavanoVMxigeV appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
appuvavanoVMxigeVyA appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
appuvavanoVMxigeVyU appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
appuvavanoVMxigeVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
appuvavanoVMxigeVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
appuvavanoVMxigeVyo appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
appuvavanoVMxigeVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
appuvavanoVMxigeVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
appuvavanoVMxigeVye appu(V24)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
appuvavalYannu appu(V24)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
appuvavalYannA appu(V24)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
appuvavalYannU appu(V24)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
appuvavalYanno appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
appuvavalYanno appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
appuvavalYanno appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
appuvavalYanne appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
appuvavalYanne appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
appuvavalYanne appu(V24)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
appuvavalYiMxa appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
appuvavalYiMxalA appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
appuvavalYiMxalU appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
appuvavalYigeV appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
appuvavalYigeVyA appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
appuvavalYigeVyU appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
appuvavalYigeVyo appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
appuvavalYigeVyo appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
appuvavalYigeVyo appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
appuvavalYigeVye appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
appuvavalYigeVye appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
appuvavalYigeVye appu(V24)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
appuvavalYiMxa  appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
appuvavalYiMxalA appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
appuvavalYiMxalU appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
appuvavalYiMxalo appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
appuvavalYiMxale appu(V24)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
appuvavalYa appu(V24)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
appuvavalYalli appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
appuvavalYalliyA appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
appuvavalYalliyU appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
appuvavalYalliyo appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
appuvavalYalliyo appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
appuvavalYalliyo appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
appuvavalYalliye appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
appuvavalYalliye appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
appuvavalYalliye appu(V24)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
appuvavalYigoskara appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
appuvavalYigoskaravA appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
appuvavalYigoskaravU appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
appuvavalYigoskara appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
appuvavalYigoskaravA appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
appuvavalYigoskaravU appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
appuvavalYigoskaravo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
appuvavalYigoskarave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
appuvavalYigAgi appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
appuvavalYigAgiyA appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
appuvavalYigAgiyU appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
appuvavalYigAgi appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
appuvavalYigAgiyA appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
appuvavalYigAgiyU appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
appuvavalYigAgiyo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
appuvavalYigAgiye appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
appuvavalYigosuga appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
appuvavalYigosugavA appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
appuvavalYigosugavU appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
appuvavalYigosuga appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
appuvavalYigosugavA appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
appuvavalYigosugavU appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
appuvavalYigosugavo appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
appuvavalYigosugave appu(V24)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
appuvavalYigiMwa appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
appuvavalYigiMwalA appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
appuvavalYigiMwalU appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
appuvavalYigiMwalo appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
appuvavalYigiMwalo appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
appuvavalYigiMwalo appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
appuvavalYigiMwale appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
appuvavalYigiMwale appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
appuvavalYigiMwale appu(V24)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
appuvavalYaMweV appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
appuvavalYaMweVyA appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
appuvavalYaMweVyU appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
appuvavalYaMweVyo appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
appuvavalYaMweVyo appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
appuvavalYaMweVyo appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
appuvavalYaMweVye appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
appuvavalYaMweVye appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
appuvavalYaMweVye appu(V24)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
appuvavalYoVdaneV appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
appuvavalYoVdaneVyA appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
appuvavalYoVdaneVyU appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
appuvavalYoVdaneVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
appuvavalYoVdaneVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
appuvavalYoVdaneVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
appuvavalYoVdaneVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
appuvavalYoVdaneVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
appuvavalYoVdaneVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
appuvavalYoVMxigeV  appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
appuvavalYoVMxigeVyA appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
appuvavalYoVMxigeVyU appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
appuvavalYoVMxigeVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
appuvavalYoVMxigeVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
appuvavalYoVMxigeVyo appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
appuvavalYoVMxigeVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
appuvavalYoVMxigeVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
appuvavalYoVMxigeVye appu(V24)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
appuvavarannu appu(V24)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
appuvavarannA appu(V24)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
appuvavarannU appu(V24)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
appuvavaranno appu(V24)+va_#_PRP+vavaru_va_ACC+ranno_ru_DUB
appuvavaranno appu(V24)+va_#_PRP+vavaru_va_ACC+ranno_ru_INDF
appuvavaranno appu(V24)+va_#_PRP+vavaru_va_ACC+ranno_ru_PRES
appuvavaranne appu(V24)+va_#_PRP+vavaru_va_ACC+ranne_ru_IMPH
appuvavaranne appu(V24)+va_#_PRP+vavaru_va_ACC+ranne_ru_DECL
appuvavaranne appu(V24)+va_#_PRP+vavaru_va_ACC+ranne_ru_RIS
appuvavariMxa appu(V24)+va_#_PRP+vavaru_va_INS+riMxa_ru_3P
appuvavariMxalA appu(V24)+va_#_PRP+vavaru_va_INS+riMxalA_ru_INTR
appuvavariMxalU appu(V24)+va_#_PRP+vavaru_va_INS+riMxalU_ru_INCL
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_INS+riMxalo_ru_DUB
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_INS+riMxalo_ru_INDF
appuvavariMxalo appu(V24)+va_#_PRP+vavaru_va_INS+riMxalo_ru_PRES
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_INS+riMxale_ru_IMPH
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_INS+riMxale_ru_DECL
appuvavariMxale appu(V24)+va_#_PRP+vavaru_va_INS+riMxale_ru_RIS
appuvavarigeV appu(V24)+va_#_PRP+vavaru_va_DAT+rigeV_ru_3P
appuvavarigeVyA appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
appuvavarigeVyU appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
appuvavarigeVyo appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
appuvavarigeVyo appu(V24)+va_#_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
