noVMxanu noyu(V17)+noVMxa_noyu_PAST+anu_a_3SM   
noyuvavanannA noyu(V17)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
noyuvavanannU noyu(V17)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
noyuvavananno noyu(V17)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
noyuvavananno noyu(V17)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
noyuvavananno noyu(V17)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
noyuvavananne noyu(V17)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
noyuvavananne noyu(V17)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
noyuvavananne noyu(V17)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
noyuvavaninoVMxa noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxa_nu_3SM
noyuvavaninoVMxalA noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxalA_nu_INTR
noyuvavaninoVMxalU noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxalU_nu_INCL
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxalo_nu_DUB
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxalo_nu_INDF
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxalo_nu_PRES
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxale_nu_IMPH
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxale_nu_DECL
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_INS+ninoVMxale_nu_RIS
noyuvavanigeV noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
noyuvavanigeVyA noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
noyuvavanigeVyU noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
noyuvavanigeVyo noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
noyuvavanigeVyo noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
noyuvavanigeVyo noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
noyuvavanigeVye noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
noyuvavanigeVye noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
noyuvavanigeVye noyu(V17)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
noyuvavaninoVMxa  noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxa_nu_3SM
noyuvavaninoVMxalA noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxalA_nu_INTR
noyuvavaninoVMxalU noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxalU_nu_INCL
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxalo_nu_DUB
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxalo_nu_INDF
noyuvavaninoVMxalo noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxalo_nu_PRES
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxale_nu_IMPH
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxale_nu_DECL
noyuvavaninoVMxale noyu(V17)+va_#_PRP+vavanu_va_ABL+ninoVMxale_nu_RIS
noyuvavana noyu(V17)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
noyuvavanalli noyu(V17)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
noyuvavanalliyA noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
noyuvavanalliyU noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
noyuvavanalliyo noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
noyuvavanalliyo noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
noyuvavanalliyo noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
noyuvavanalliye noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
noyuvavanalliye noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
noyuvavanalliye noyu(V17)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
noyuvavanigoskara noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
noyuvavanigoskaravA noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
noyuvavanigoskaravU noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
noyuvavanigoskara noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
noyuvavanigoskaravA noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
noyuvavanigoskaravU noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
noyuvavanigoskaravo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
noyuvavanigoskarave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
noyuvavanigAgi noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
noyuvavanigAgiyA noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
noyuvavanigAgiyU noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
noyuvavanigAgi noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
noyuvavanigAgiyA noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
noyuvavanigAgiyU noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
noyuvavanigAgiyo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
noyuvavanigAgiye noyu(V17)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
noyuvavanigosuga noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
noyuvavanigosugavA noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
noyuvavanigosugavU noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
noyuvavanigosuga noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
noyuvavanigosugavA noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
noyuvavanigosugavU noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
noyuvavanigosugavo noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
noyuvavanigosugave noyu(V17)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
noyuvavanigiMwa noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
noyuvavanigiMwalA noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
noyuvavanigiMwalU noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
noyuvavanigiMwalo noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
noyuvavanigiMwalo noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
noyuvavanigiMwalo noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
noyuvavanigiMwale noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
noyuvavanigiMwale noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
noyuvavanigiMwale noyu(V17)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
noyuvavanaMweV noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
noyuvavanaMweVyA noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
noyuvavanaMweVyU noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
noyuvavanaMweVyo noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
noyuvavanaMweVyo noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
noyuvavanaMweVyo noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
noyuvavanaMweVye noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
noyuvavanaMweVye noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
noyuvavanaMweVye noyu(V17)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
noyuvavanoVdaneV noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
noyuvavanoVdaneVyA noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
noyuvavanoVdaneVyU noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
noyuvavanoVdaneVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
noyuvavanoVdaneVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
noyuvavanoVdaneVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
noyuvavanoVdaneVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
noyuvavanoVdaneVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
noyuvavanoVdaneVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
noyuvavanoVMxigeV noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
noyuvavanoVMxigeVyA noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
noyuvavanoVMxigeVyU noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
noyuvavanoVMxigeVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
noyuvavanoVMxigeVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
noyuvavanoVMxigeVyo noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
noyuvavanoVMxigeVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
noyuvavanoVMxigeVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
noyuvavanoVMxigeVye noyu(V17)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
noyuvavalYannu noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
noyuvavalYannA noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
noyuvavalYannU noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
noyuvavalYanno noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
noyuvavalYanno noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
noyuvavalYanno noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
noyuvavalYanne noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
noyuvavalYanne noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
noyuvavalYanne noyu(V17)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
noyuvavalYiMnoVMxa noyu(V17)+va_#_PRP+vavalYu_va_INS+lYiMnoVMxa_lYu_3SF
noyuvavalYinoVMxalA noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxalA_lYu_INTR
noyuvavalYinoVMxalU noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxalU_lYu_INCL
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxalo_lYu_DUB
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxalo_lYu_INDF
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxalo_lYu_PRES
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxale_lYu_IMPH
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxale_lYu_DECL
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_INS+lYinoVMxale_lYu_RIS
noyuvavalYigeV noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
noyuvavalYigeVyA noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
noyuvavalYigeVyU noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
noyuvavalYigeVyo noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
noyuvavalYigeVyo noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
noyuvavalYigeVyo noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
noyuvavalYigeVye noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
noyuvavalYigeVye noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
noyuvavalYigeVye noyu(V17)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
noyuvavalYiMnoVMxa  noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYiMnoVMxa_lYu_3SF
noyuvavalYinoVMxalA noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxalA_lYu_INTR
noyuvavalYinoVMxalU noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxalU_lYu_INCL
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxalo_lYu_DUB
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxalo_lYu_INDF
noyuvavalYinoVMxalo noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxalo_lYu_PRES
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxale_lYu_IMPH
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxale_lYu_DECL
noyuvavalYinoVMxale noyu(V17)+va_#_PRP+vavalYu_va_ABL+lYinoVMxale_lYu_RIS
noyuvavalYa noyu(V17)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
noyuvavalYalli noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
noyuvavalYalliyA noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
noyuvavalYalliyU noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
noyuvavalYalliyo noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
noyuvavalYalliyo noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
noyuvavalYalliyo noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
noyuvavalYalliye noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
noyuvavalYalliye noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
noyuvavalYalliye noyu(V17)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
noyuvavalYigoskara noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
noyuvavalYigoskaravA noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
noyuvavalYigoskaravU noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
noyuvavalYigoskara noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
noyuvavalYigoskaravA noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
noyuvavalYigoskaravU noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
noyuvavalYigoskaravo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
noyuvavalYigoskarave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
noyuvavalYigAgi noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
noyuvavalYigAgiyA noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
noyuvavalYigAgiyU noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
noyuvavalYigAgi noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
noyuvavalYigAgiyA noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
noyuvavalYigAgiyU noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
noyuvavalYigAgiyo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
noyuvavalYigAgiye noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
noyuvavalYigosuga noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
noyuvavalYigosugavA noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
noyuvavalYigosugavU noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
noyuvavalYigosuga noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
noyuvavalYigosugavA noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
noyuvavalYigosugavU noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
noyuvavalYigosugavo noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
noyuvavalYigosugave noyu(V17)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
noyuvavalYigiMwa noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
noyuvavalYigiMwalA noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
noyuvavalYigiMwalU noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
noyuvavalYigiMwalo noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
noyuvavalYigiMwalo noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
noyuvavalYigiMwalo noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
noyuvavalYigiMwale noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
noyuvavalYigiMwale noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
noyuvavalYigiMwale noyu(V17)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
noyuvavalYaMweV noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
noyuvavalYaMweVyA noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
noyuvavalYaMweVyU noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
noyuvavalYaMweVyo noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
noyuvavalYaMweVyo noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
noyuvavalYaMweVyo noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
noyuvavalYaMweVye noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
noyuvavalYaMweVye noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
noyuvavalYaMweVye noyu(V17)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
noyuvavalYoVdaneV noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
noyuvavalYoVdaneVyA noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
noyuvavalYoVdaneVyU noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
noyuvavalYoVdaneVyo noyu(V17)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
