agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agaluvavaniMxa agalu(V26)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
agaluvavaniMxalA agalu(V26)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
agaluvavaniMxalU agalu(V26)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
agaluvavanigeV agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
agaluvavanigeVyA agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
agaluvavanigeVyU agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
agaluvavanigeVyo agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
agaluvavanigeVyo agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
agaluvavanigeVyo agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
agaluvavanigeVye agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
agaluvavanigeVye agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
agaluvavanigeVye agalu(V26)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
agaluvavaniMxa  agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
agaluvavaniMxalA agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
agaluvavaniMxalU agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
agaluvavaniMxalo agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
agaluvavaniMxale agalu(V26)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
agaluvavana agalu(V26)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
agaluvavanalli agalu(V26)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
agaluvavanalliyA agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
agaluvavanalliyU agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
agaluvavanalliyo agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
agaluvavanalliyo agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
agaluvavanalliyo agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
agaluvavanalliye agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
agaluvavanalliye agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
agaluvavanalliye agalu(V26)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
agaluvavanigoskara agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
agaluvavanigoskaravA agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
agaluvavanigoskaravU agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
agaluvavanigoskara agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
agaluvavanigoskaravA agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
agaluvavanigoskaravU agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
agaluvavanigoskaravo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
agaluvavanigoskarave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
agaluvavanigAgi agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
agaluvavanigAgiyA agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
agaluvavanigAgiyU agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
agaluvavanigAgi agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
agaluvavanigAgiyA agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
agaluvavanigAgiyU agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
agaluvavanigAgiyo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
agaluvavanigAgiye agalu(V26)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
agaluvavanigosuga agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
agaluvavanigosugavA agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
agaluvavanigosugavU agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
agaluvavanigosuga agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
agaluvavanigosugavA agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
agaluvavanigosugavU agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
agaluvavanigosugavo agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
agaluvavanigosugave agalu(V26)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
agaluvavanigiMwa agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
agaluvavanigiMwalA agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
agaluvavanigiMwalU agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
agaluvavanigiMwalo agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
agaluvavanigiMwalo agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
agaluvavanigiMwalo agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
agaluvavanigiMwale agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
agaluvavanigiMwale agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
agaluvavanigiMwale agalu(V26)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
agaluvavanaMweV agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
agaluvavanaMweVyA agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
agaluvavanaMweVyU agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
agaluvavanaMweVyo agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
agaluvavanaMweVyo agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
agaluvavanaMweVyo agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
agaluvavanaMweVye agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
agaluvavanaMweVye agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
agaluvavanaMweVye agalu(V26)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
agaluvavanoVdaneV agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
agaluvavanoVdaneVyA agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
agaluvavanoVdaneVyU agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
agaluvavanoVdaneVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
agaluvavanoVdaneVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
agaluvavanoVdaneVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
agaluvavanoVdaneVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
agaluvavanoVdaneVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
agaluvavanoVdaneVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
agaluvavanoVMxigeV agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
agaluvavanoVMxigeVyA agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
agaluvavanoVMxigeVyU agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
agaluvavanoVMxigeVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
agaluvavanoVMxigeVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
agaluvavanoVMxigeVyo agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
agaluvavanoVMxigeVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
agaluvavanoVMxigeVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
agaluvavanoVMxigeVye agalu(V26)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
agaluvavalYannu agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
agaluvavalYannA agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
agaluvavalYannU agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
agaluvavalYanno agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
agaluvavalYanno agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
agaluvavalYanno agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
agaluvavalYanne agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
agaluvavalYanne agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
agaluvavalYanne agalu(V26)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
agaluvavalYiMxa agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
agaluvavalYiMxalA agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
agaluvavalYiMxalU agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
agaluvavalYigeV agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
agaluvavalYigeVyA agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
agaluvavalYigeVyU agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
agaluvavalYigeVyo agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
agaluvavalYigeVyo agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
agaluvavalYigeVyo agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
agaluvavalYigeVye agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
agaluvavalYigeVye agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
agaluvavalYigeVye agalu(V26)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
agaluvavalYiMxa  agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
agaluvavalYiMxalA agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
agaluvavalYiMxalU agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
agaluvavalYiMxalo agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
agaluvavalYiMxale agalu(V26)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
agaluvavalYa agalu(V26)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
agaluvavalYalli agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
agaluvavalYalliyA agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
agaluvavalYalliyU agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
agaluvavalYalliyo agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
agaluvavalYalliyo agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
agaluvavalYalliyo agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
agaluvavalYalliye agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
agaluvavalYalliye agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
agaluvavalYalliye agalu(V26)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
agaluvavalYigoskara agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
agaluvavalYigoskaravA agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
agaluvavalYigoskaravU agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
agaluvavalYigoskara agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
agaluvavalYigoskaravA agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
agaluvavalYigoskaravU agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
agaluvavalYigoskaravo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
agaluvavalYigoskarave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
agaluvavalYigAgi agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
agaluvavalYigAgiyA agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
agaluvavalYigAgiyU agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
agaluvavalYigAgi agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
agaluvavalYigAgiyA agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
agaluvavalYigAgiyU agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
agaluvavalYigAgiyo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
agaluvavalYigAgiye agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
agaluvavalYigosuga agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
agaluvavalYigosugavA agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
agaluvavalYigosugavU agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
agaluvavalYigosuga agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
agaluvavalYigosugavA agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
agaluvavalYigosugavU agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
agaluvavalYigosugavo agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
agaluvavalYigosugave agalu(V26)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
agaluvavalYigiMwa agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
agaluvavalYigiMwalA agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
agaluvavalYigiMwalU agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
agaluvavalYigiMwalo agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
agaluvavalYigiMwalo agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
agaluvavalYigiMwalo agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
agaluvavalYigiMwale agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
agaluvavalYigiMwale agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
agaluvavalYigiMwale agalu(V26)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
agaluvavalYaMweV agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
agaluvavalYaMweVyA agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
agaluvavalYaMweVyU agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
agaluvavalYaMweVyo agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
agaluvavalYaMweVyo agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
agaluvavalYaMweVyo agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
agaluvavalYaMweVye agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
agaluvavalYaMweVye agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
agaluvavalYaMweVye agalu(V26)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
agaluvavalYoVdaneV agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
agaluvavalYoVdaneVyA agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
agaluvavalYoVdaneVyU agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
agaluvavalYoVdaneVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
agaluvavalYoVdaneVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
agaluvavalYoVdaneVyo agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
agaluvavalYoVdaneVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
agaluvavalYoVdaneVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
agaluvavalYoVdaneVye agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
agaluvavalYoVMxigeV  agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
agaluvavalYoVMxigeVyA agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
agaluvavalYoVMxigeVyU agalu(V26)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
