kadixanu kadi(V18)+xa_#_PAST+anu_a_3SM   
kadivuxannu kadi(V18)+vuxannu_#_ACC
kadivuxariMxa kadi(V18)+vuxariMxa_#_INS
kadivuxakkeV kadi(V18)+vuxakkeV_#_DAT
kadivuxariMxa kadi(V18)+vuxariMxa_#_ABL
kadivuxara kadi(V18)+vuxara_#_GEN
kadivuxaralli kadi(V18)+vuxaralli_#_LOC
kadivuxakkoskara kadi(V18)+vuxu_#_DAT+xakkoskara_xu_BEN
kadivuxakkoskara kadi(V18)+vuxu_#_DAT+xakkoskara_xu_PUR
kadivuxakkAgi kadi(V18)+vuxu_#_DAT+xakkAgi_xu_BEN
kadivuxakkAgi kadi(V18)+vuxu_#_DAT+xakkAgi_xu_PUR
kadivuxakkosuga kadi(V18)+vuxu_#_DAT+xakkosuga_xu_BEN
kadivuxakkosuga kadi(V18)+vuxu_#_DAT+xakkosuga_xu_PUR
kadivuxakkiMwa kadi(V18)+vuxu_#_DAT+xakkiMwa_xu_COMP
kadiyuvaMweV kadi(V18)+yuvaMweV_#_SIM
kadiyuvaMwa kadi(V18)+yuvaMwa_#_SIM
kadiyuvaMwaha kadi(V18)+yuvaMwaha_#_SIM
kadivuxaroVdaneV kadi(V18)+vuxu_#_GEN+xaroVdaneV_xu_SOC
kadivuxaroVMxigeV kadi(V18)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
kadiyuvayuvanannu kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nannu_nu_3SM
kadiyuvayuvanannA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nannA_nu_INTR
kadiyuvayuvanannU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nannU_nu_INCL
kadiyuvayuvananno kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanno_nu_DUB
kadiyuvayuvananno kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanno_nu_INDF
kadiyuvayuvananno kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanno_nu_PRES
kadiyuvayuvananne kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanne_nu_IMPH
kadiyuvayuvananne kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanne_nu_DECL
kadiyuvayuvananne kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ACC+nanne_nu_RIS
kadiyuvayuvanixa kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixa_nu_3SM
kadiyuvayuvanixalA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixalA_nu_INTR
kadiyuvayuvanixalU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixalU_nu_INCL
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixalo_nu_DUB
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixalo_nu_INDF
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixalo_nu_PRES
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixale_nu_IMPH
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixale_nu_DECL
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_INS+nixale_nu_RIS
kadiyuvayuvanigeV kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeV_nu_3SM
kadiyuvayuvanigeVyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVyA_nu_INTR
kadiyuvayuvanigeVyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVyU_nu_INCL
kadiyuvayuvanigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVyo_nu_DUB
kadiyuvayuvanigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVyo_nu_INDF
kadiyuvayuvanigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVyo_nu_PRES
kadiyuvayuvanigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVye_nu_IMPH
kadiyuvayuvanigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVye_nu_DECL
kadiyuvayuvanigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_DAT+nigeVye_nu_RIS
kadiyuvayuvanixa  kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixa_nu_3SM
kadiyuvayuvanixalA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixalA_nu_INTR
kadiyuvayuvanixalU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixalU_nu_INCL
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixalo_nu_DUB
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixalo_nu_INDF
kadiyuvayuvanixalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixalo_nu_PRES
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixale_nu_IMPH
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixale_nu_DECL
kadiyuvayuvanixale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_ABL+nixale_nu_RIS
kadiyuvayuvana kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_GEN+na_nu_3SM
kadiyuvayuvanalli kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalli_nu_3SM
kadiyuvayuvanalliyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliyA_nu_INTR
kadiyuvayuvanalliyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliyU_nu_INCL
kadiyuvayuvanalliyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliyo_nu_DUB
kadiyuvayuvanalliyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliyo_nu_INDF
kadiyuvayuvanalliyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliyo_nu_PRES
kadiyuvayuvanalliye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliye_nu_IMPH
kadiyuvayuvanalliye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliye_nu_DECL
kadiyuvayuvanalliye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_LOC+nalliye_nu_RIS
kadiyuvayuvanigoskara kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskara_nu_3SM
kadiyuvayuvanigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskarayuva_nu_INTR
kadiyuvayuvanigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskaravU_nu_INCL
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskaravo_nu_DUB
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskaravo_nu_INDF
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskaravo_nu_PRES
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskarave_nu_IMPH
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskarave_nu_DECL
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigoskarave_nu_RIS
kadiyuvayuvanigoskara kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskara_nu_3SM
kadiyuvayuvanigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskarayuva_nu_INTR
kadiyuvayuvanigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskaravU_nu_INCL
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskaravo_nu_DUB
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskaravo_nu_INDF
kadiyuvayuvanigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskaravo_nu_PRES
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskarave_nu_IMPH
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskarave_nu_DECL
kadiyuvayuvanigoskarave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigoskarave_nu_RIS
kadiyuvayuvanigAgi kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgi_nu_3SM
kadiyuvayuvanigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiyA_nu_INTR
kadiyuvayuvanigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiyU_nu_INCL
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiyo_nu_DUB
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiyo_nu_INDF
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiyo_nu_PRES
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiye_nu_IMPH
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiye_nu_DECL
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigAgiye_nu_RIS
kadiyuvayuvanigAgi kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgi_nu_3SM
kadiyuvayuvanigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiyA_nu_INTR
kadiyuvayuvanigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiyU_nu_INCL
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiyo_nu_DUB
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiyo_nu_INDF
kadiyuvayuvanigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiyo_nu_PRES
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiye_nu_IMPH
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiye_nu_DECL
kadiyuvayuvanigAgiye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigAgiye_nu_RIS
kadiyuvayuvanigosuga kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosuga_nu_3SM
kadiyuvayuvanigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugayuva_nu_INTR
kadiyuvayuvanigosugavU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugavU_nu_INCL
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugavo_nu_DUB
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugavo_nu_INDF
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugavo_nu_PRES
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugave_nu_IMPH
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugave_nu_DECL
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_BEN+nigosugave_nu_RIS
kadiyuvayuvanigosuga kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosuga_nu_3SM
kadiyuvayuvanigosugayuva kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugayuva_nu_INTR
kadiyuvayuvanigosugavU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugavU_nu_INCL
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugavo_nu_DUB
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugavo_nu_INDF
kadiyuvayuvanigosugavo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugavo_nu_PRES
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugave_nu_IMPH
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugave_nu_DECL
kadiyuvayuvanigosugave kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_PUR+nigosugave_nu_RIS
kadiyuvayuvanigiMwa kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwa_nu_3SM
kadiyuvayuvanigiMwalA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwalA_nu_INTR
kadiyuvayuvanigiMwalU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwalU_nu_INCL
kadiyuvayuvanigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwalo_nu_DUB
kadiyuvayuvanigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwalo_nu_INDF
kadiyuvayuvanigiMwalo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwalo_nu_PRES
kadiyuvayuvanigiMwale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwale_nu_IMPH
kadiyuvayuvanigiMwale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwale_nu_DECL
kadiyuvayuvanigiMwale kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_COMP+nigiMwale_nu_RIS
kadiyuvayuvanaMweV kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweV_nu_3SM
kadiyuvayuvanaMweVyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVyA_nu_INTR
kadiyuvayuvanaMweVyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVyU_nu_INCL
kadiyuvayuvanaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVyo_nu_DUB
kadiyuvayuvanaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVyo_nu_INDF
kadiyuvayuvanaMweVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVyo_nu_PRES
kadiyuvayuvanaMweVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVye_nu_IMPH
kadiyuvayuvanaMweVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVye_nu_DECL
kadiyuvayuvanaMweVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SIM+naMweVye_nu_RIS
kadiyuvayuvanoVdaneV kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneV_nu_3SM
kadiyuvayuvanoVdaneVyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVyA_nu_INTR
kadiyuvayuvanoVdaneVyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVyU_nu_INCL
kadiyuvayuvanoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVyo_nu_DUB
kadiyuvayuvanoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVyo_nu_INDF
kadiyuvayuvanoVdaneVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVyo_nu_PRES
kadiyuvayuvanoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVye_nu_IMPH
kadiyuvayuvanoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVye_nu_DECL
kadiyuvayuvanoVdaneVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVdaneVye_nu_RIS
kadiyuvayuvanoVMxigeV kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeV_nu_3SM
kadiyuvayuvanoVMxigeVyA kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVyA_nu_INTR
kadiyuvayuvanoVMxigeVyU kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVyU_nu_INCL
kadiyuvayuvanoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVyo_nu_DUB
kadiyuvayuvanoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVyo_nu_INDF
kadiyuvayuvanoVMxigeVyo kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVyo_nu_PRES
kadiyuvayuvanoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVye_nu_IMPH
kadiyuvayuvanoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVye_nu_DECL
kadiyuvayuvanoVMxigeVye kadi(V18)+yuva_#_PRP+yuvayuvanu_yuva_SOC+noVMxigeVye_nu_RIS
kadiyuvayuvalYannu kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYannu_lYu_3SF
kadiyuvayuvalYannA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYannA_lYu_INTR
kadiyuvayuvalYannU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYannU_lYu_INCL
kadiyuvayuvalYanno kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanno_lYu_DUB
kadiyuvayuvalYanno kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanno_lYu_INDF
kadiyuvayuvalYanno kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanno_lYu_PRES
kadiyuvayuvalYanne kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanne_lYu_IMPH
kadiyuvayuvalYanne kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanne_lYu_DECL
kadiyuvayuvalYanne kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ACC+lYanne_lYu_RIS
kadiyuvayuvalYiMxa kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYiMxa_lYu_3SF
kadiyuvayuvalYixalA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixalA_lYu_INTR
kadiyuvayuvalYixalU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixalU_lYu_INCL
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixalo_lYu_DUB
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixalo_lYu_INDF
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixalo_lYu_PRES
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixale_lYu_IMPH
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixale_lYu_DECL
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_INS+lYixale_lYu_RIS
kadiyuvayuvalYigeV kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeV_lYu_3SF
kadiyuvayuvalYigeVyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVyA_lYu_INTR
kadiyuvayuvalYigeVyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVyU_lYu_INCL
kadiyuvayuvalYigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVyo_lYu_DUB
kadiyuvayuvalYigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVyo_lYu_INDF
kadiyuvayuvalYigeVyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVyo_lYu_PRES
kadiyuvayuvalYigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVye_lYu_IMPH
kadiyuvayuvalYigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVye_lYu_DECL
kadiyuvayuvalYigeVye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_DAT+lYigeVye_lYu_RIS
kadiyuvayuvalYiMxa  kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYiMxa_lYu_3SF
kadiyuvayuvalYixalA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixalA_lYu_INTR
kadiyuvayuvalYixalU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixalU_lYu_INCL
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixalo_lYu_DUB
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixalo_lYu_INDF
kadiyuvayuvalYixalo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixalo_lYu_PRES
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixale_lYu_IMPH
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixale_lYu_DECL
kadiyuvayuvalYixale kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_ABL+lYixale_lYu_RIS
kadiyuvayuvalYa kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_GEN+lYa_lYu_3SF
kadiyuvayuvalYalli kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalli_lYu_3SF
kadiyuvayuvalYalliyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliyA_lYu_INTR
kadiyuvayuvalYalliyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliyU_lYu_INCL
kadiyuvayuvalYalliyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliyo_lYu_DUB
kadiyuvayuvalYalliyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliyo_lYu_INDF
kadiyuvayuvalYalliyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliyo_lYu_PRES
kadiyuvayuvalYalliye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliye_lYu_IMPH
kadiyuvayuvalYalliye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliye_lYu_DECL
kadiyuvayuvalYalliye kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_LOC+lYalliye_lYu_RIS
kadiyuvayuvalYigoskara kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskara_lYu_3SF
kadiyuvayuvalYigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskarayuva_lYu_INTR
kadiyuvayuvalYigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskaravU_lYu_INCL
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskaravo_lYu_DUB
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskaravo_lYu_INDF
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskaravo_lYu_PRES
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskarave_lYu_IMPH
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskarave_lYu_DECL
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigoskarave_lYu_RIS
kadiyuvayuvalYigoskara kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskara_lYu_3SF
kadiyuvayuvalYigoskarayuva kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskarayuva_lYu_INTR
kadiyuvayuvalYigoskaravU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskaravU_lYu_INCL
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskaravo_lYu_DUB
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskaravo_lYu_INDF
kadiyuvayuvalYigoskaravo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskaravo_lYu_PRES
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskarave_lYu_IMPH
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskarave_lYu_DECL
kadiyuvayuvalYigoskarave kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_PUR+lYigoskarave_lYu_RIS
kadiyuvayuvalYigAgi kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgi_lYu_3SF
kadiyuvayuvalYigAgiyA kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiyA_lYu_INTR
kadiyuvayuvalYigAgiyU kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiyU_lYu_INCL
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiyo_lYu_DUB
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiyo_lYu_INDF
kadiyuvayuvalYigAgiyo kadi(V18)+yuva_#_PRP+yuvayuvalYu_yuva_BEN+lYigAgiyo_lYu_PRES
