kiwwanu kIlYu(V33)+iwwa_IlYu_PAST+anu_a_3SM   
kIlYalpadalo kIlYu(V33)+lYalpadalo_lYu_INDF
kIlYalpadalikko kIlYu(V33)+lYalpadalikko_lYu_INDF
kIlYalpattaro kIlYu(V33)+lYalpattaro_lYu_INDF
kIlYalpattalliyo kIlYu(V33)+lYalpattalliyo_lYu_INDF
kIlYuvuxe kIlYu(V33)+lYuvuxe_lYu_IMP
kIlYuvuxakkeVye kIlYu(V33)+vuxakkeVye_#_IMPH
kIlYale kIlYu(V33)+lYale_lYu_IMPH
kIlYalikke kIlYu(V33)+lYalikke_lYu_IMP
kIlYalikkye kIlYu(V33)+lYalikkye_lYu_IMP
kiwwalYe kIlYu(V33)+iwwalYe_IlYu_IMP
kiwwe kIlYu(V33)+iwwe_IlYu_IMP
kIlYalpaduvuxe kIlYu(V33)+lYalpaduvuxe_lYu_IMP
kIlYalpaduvuxakkeye kIlYu(V33)+lYalpaduvuxakkeye_lYu_IMP
kIlYalpatte kIlYu(V33)+lYalpatte_lYu_IMP
kIlYalpadkiwwale kIlYu(V33)+lYalpadkiwwale_lYu_IMP
kIlYuvuxU kIlYu(V33)+IlYuvuxU_IlYu_INCL
kiwwU kIlYu(V33)+iwwU_IlYu_INCL
kIlYalU kIlYu(V33)+lYalU_lYu_INCL
kIlYalikkyU kIlYu(V33)+lYalikkyU_lYu_INCL
kIlYalikkU kIlYu(V33)+lYalikkU_lYu_INCL
kIlYanU kIlYu(V33)+lYanU_lYu_INCL
kIlYaIlYu kIlYu(V33)+lYaIlYu_lYu_INCL
kIlYaxU kIlYu(V33)+lYaxU_lYu_INCL
kIlYarU kIlYu(V33)+lYarU_lYu_INCL
kIlYavU kIlYu(V33)+lYavU_lYu_INCL
kiwwarU kIlYu(V33)+iwwarU_IlYu_INCL
kIlYuwwalU kIlYu(V33)+uwwalU_u_INCL
kiwwalliyU kIlYu(V33)+iwwalliyU_IlYu_INCL
kIlYalpaduwwalU kIlYu(V33)+lYalpaduwwalU_lYu_INCL
kIlYalpaduwwaveVyU kIlYu(V33)+lYalpaduwwaveVyU_lYu_INCL
kIlYalpaduvuxU kIlYu(V33)+lYalpaduvuxU_lYu_INCL
kIlYalpaduvuvU kIlYu(V33)+lYalpaduvuvU_lYu_INCL
kIlYalpattarU kIlYu(V33)+lYalpattarU_lYu_INCL
kIlYalpadkiwwalU kIlYu(V33)+lYalpadkiwwalU_lYu_INCL
kIlYalpadalU kIlYu(V33)+lYalpadalU_lYu_INCL
kIlYalpadalikkeyU kIlYu(V33)+lYalpadalikkeyU_lYu_INCL
kIlYalpattalliyU kIlYu(V33)+lYalpattalliyU_lYu_INCL
kIlYuvuxannu kIlYu(V33)+vuxannu_#_ACC
kIlYuvuxariMxa kIlYu(V33)+vuxariMxa_#_INS
kIlYuvuxakkeV kIlYu(V33)+vuxakkeV_#_DAT
kIlYuvuxariMxa kIlYu(V33)+vuxariMxa_#_ABL
kIlYuvuxara kIlYu(V33)+vuxara_#_GEN
kIlYuvuxaralli kIlYu(V33)+vuxaralli_#_LOC
kIlYuvuxakkoskara kIlYu(V33)+vuxu_#_DAT+xakkoskara_xu_BEN
kIlYuvuxakkoskara kIlYu(V33)+vuxu_#_DAT+xakkoskara_xu_PUR
kIlYuvuxakkAgi kIlYu(V33)+vuxu_#_DAT+xakkAgi_xu_BEN
kIlYuvuxakkAgi kIlYu(V33)+vuxu_#_DAT+xakkAgi_xu_PUR
kIlYuvuxakkosuga kIlYu(V33)+vuxu_#_DAT+xakkosuga_xu_BEN
kIlYuvuxakkosuga kIlYu(V33)+vuxu_#_DAT+xakkosuga_xu_PUR
kIlYuvuxakkiMwa kIlYu(V33)+vuxu_#_DAT+xakkiMwa_xu_COMP
kIlYuvaMweV kIlYu(V33)+vaMweV_#_SIM
kIlYuvaMwa kIlYu(V33)+vaMwa_#_SIM
kIlYuvaMwaha kIlYu(V33)+vaMwaha_#_SIM
kIlYuvuxaroVdaneV kIlYu(V33)+vuxu_#_GEN+xaroVdaneV_xu_SOC
kIlYuvuxaroVMxigeV kIlYu(V33)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
kIlYuvavanannu kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nannu_nu_3SM
kIlYuvavanannA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nannA_nu_INTR
kIlYuvavanannU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nannU_nu_INCL
kIlYuvavananno kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanno_nu_DUB
kIlYuvavananno kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanno_nu_INDF
kIlYuvavananno kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanno_nu_PRES
kIlYuvavananne kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanne_nu_IMPH
kIlYuvavananne kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanne_nu_DECL
kIlYuvavananne kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ACC+nanne_nu_RIS
kIlYuvavaniMxa kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxa_nu_3SM
kIlYuvavaniMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxalA_nu_INTR
kIlYuvavaniMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxalU_nu_INCL
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxalo_nu_DUB
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxalo_nu_INDF
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxalo_nu_PRES
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxale_nu_IMPH
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxale_nu_DECL
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_INS+niMxale_nu_RIS
kIlYuvavanigeV kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeV_nu_3SM
kIlYuvavanigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
kIlYuvavanigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
kIlYuvavanigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
kIlYuvavanigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
kIlYuvavanigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
kIlYuvavanigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
kIlYuvavanigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
kIlYuvavanigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
kIlYuvavaniMxa  kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxa_nu_3SM
kIlYuvavaniMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxalA_nu_INTR
kIlYuvavaniMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxalU_nu_INCL
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxalo_nu_DUB
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxalo_nu_INDF
kIlYuvavaniMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxalo_nu_PRES
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxale_nu_IMPH
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxale_nu_DECL
kIlYuvavaniMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_ABL+niMxale_nu_RIS
kIlYuvavana kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_GEN+na_nu_3SM
kIlYuvavanalli kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalli_nu_3SM
kIlYuvavanalliyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
kIlYuvavanalliyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
kIlYuvavanalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
kIlYuvavanalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
kIlYuvavanalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
kIlYuvavanalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
kIlYuvavanalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliye_nu_DECL
kIlYuvavanalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_LOC+nalliye_nu_RIS
kIlYuvavanigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskara_nu_3SM
kIlYuvavanigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
kIlYuvavanigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
kIlYuvavanigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskara_nu_3SM
kIlYuvavanigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
kIlYuvavanigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
kIlYuvavanigoskaravo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
kIlYuvavanigoskarave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
kIlYuvavanigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgi_nu_3SM
kIlYuvavanigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
kIlYuvavanigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
kIlYuvavanigAgi kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgi_nu_3SM
kIlYuvavanigAgiyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
kIlYuvavanigAgiyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
kIlYuvavanigAgiyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
kIlYuvavanigAgiye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
kIlYuvavanigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
kIlYuvavanigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
kIlYuvavanigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
kIlYuvavanigosuga kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
kIlYuvavanigosugavA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
kIlYuvavanigosugavU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
kIlYuvavanigosugavo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
kIlYuvavanigosugave kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
kIlYuvavanigiMwa kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
kIlYuvavanigiMwalA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
kIlYuvavanigiMwalU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
kIlYuvavanigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
kIlYuvavanigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
kIlYuvavanigiMwalo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
kIlYuvavanigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
kIlYuvavanigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
kIlYuvavanigiMwale kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
kIlYuvavanaMweV kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweV_nu_3SM
kIlYuvavanaMweVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
kIlYuvavanaMweVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
kIlYuvavanaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
kIlYuvavanaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
kIlYuvavanaMweVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
kIlYuvavanaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
kIlYuvavanaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
kIlYuvavanaMweVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
kIlYuvavanoVdaneV kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
kIlYuvavanoVdaneVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
kIlYuvavanoVdaneVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
kIlYuvavanoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
kIlYuvavanoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
kIlYuvavanoVdaneVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
kIlYuvavanoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
kIlYuvavanoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
kIlYuvavanoVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
kIlYuvavanoVMxigeV kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
kIlYuvavanoVMxigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
kIlYuvavanoVMxigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
kIlYuvavanoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
kIlYuvavanoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
kIlYuvavanoVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
kIlYuvavanoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
kIlYuvavanoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
kIlYuvavanoVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
kIlYuvavalYannU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYannU_IlYu_3SF
kIlYuvavalYannA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYannA_IlYu_INTR
kIlYuvavalYannU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYannU_IlYu_INCL
kIlYuvavalYanno kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanno_IlYu_DUB
kIlYuvavalYanno kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanno_IlYu_INDF
kIlYuvavalYanno kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanno_IlYu_PRES
kIlYuvavalYanne kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanne_IlYu_IMPH
kIlYuvavalYanne kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanne_IlYu_DECL
kIlYuvavalYanne kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ACC+lYanne_IlYu_RIS
kIlYuvavalYiMxa kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxa_IlYu_3SF
kIlYuvavalYiMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxalA_IlYu_INTR
kIlYuvavalYiMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxalU_IlYu_INCL
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxalo_IlYu_DUB
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxalo_IlYu_INDF
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxalo_IlYu_PRES
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxale_IlYu_IMPH
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxale_IlYu_DECL
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_INS+lYiMxale_IlYu_RIS
kIlYuvavalYigeV kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeV_IlYu_3SF
kIlYuvavalYigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVyA_IlYu_INTR
kIlYuvavalYigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVyU_IlYu_INCL
kIlYuvavalYigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVyo_IlYu_DUB
kIlYuvavalYigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVyo_IlYu_INDF
kIlYuvavalYigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVyo_IlYu_PRES
kIlYuvavalYigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVye_IlYu_IMPH
kIlYuvavalYigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVye_IlYu_DECL
kIlYuvavalYigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_DAT+lYigeVye_IlYu_RIS
kIlYuvavalYiMxa  kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxa_IlYu_3SF
kIlYuvavalYiMxalA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxalA_IlYu_INTR
kIlYuvavalYiMxalU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxalU_IlYu_INCL
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxalo_IlYu_DUB
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxalo_IlYu_INDF
kIlYuvavalYiMxalo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxalo_IlYu_PRES
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxale_IlYu_IMPH
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxale_IlYu_DECL
kIlYuvavalYiMxale kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_ABL+lYiMxale_IlYu_RIS
kIlYuvavalYa kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_GEN+lYa_IlYu_3SF
kIlYuvavalYalli kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalli_IlYu_3SF
kIlYuvavalYalliyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliyA_IlYu_INTR
kIlYuvavalYalliyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliyU_IlYu_INCL
kIlYuvavalYalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliyo_IlYu_DUB
kIlYuvavalYalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliyo_IlYu_INDF
kIlYuvavalYalliyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliyo_IlYu_PRES
kIlYuvavalYalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliye_IlYu_IMPH
kIlYuvavalYalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliye_IlYu_DECL
kIlYuvavalYalliye kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_LOC+lYalliye_IlYu_RIS
kIlYuvavalYigoskara kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskara_IlYu_3SF
kIlYuvavalYigoskaravA kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskaravA_IlYu_INTR
kIlYuvavalYigoskaravU kIlYu(V33)+IlYuva_IlYu_PRP+vavaIlYu_va_BEN+lYigoskaravU_IlYu_INCL
