koVMdanu koVlYlYu(V20)+Mda_lYlYu_PAST+anu_a_3SM   
koVlYlYalAraro koVlYlYu(V20)+alAraro_u_INDF
koVlYlYalAravo koVlYlYu(V20)+alAravo_u_INDF
koVlYlYaballano koVlYlYu(V20)+aballano_u_INDF
koVlYlYaballalYo koVlYlYu(V20)+aballalYo_u_INDF
koVlYlYaballaxo koVlYlYu(V20)+aballaxo_u_INDF
koVlYlYaballaro koVlYlYu(V20)+aballaro_u_INDF
koVlYlYaballavo koVlYlYu(V20)+aballavo_u_INDF
koVlYlYalpattiwo koVlYlYu(V20)+alpattiwo_u_INDF
koVlYlYalpattavo koVlYlYu(V20)+alpattavo_u_INDF
koVlYlYalpaduwwaxo koVlYlYu(V20)+alpaduwwaxo_u_INDF
koVlYlYalpaduwwaveyo koVlYlYu(V20)+alpaduwwaveyo_u_INDF
koVlYlYalpaduvuxo koVlYlYu(V20)+alpaduvuxo_u_INDF
koVlYlYalpaduvuvo koVlYlYu(V20)+alpaduvuvo_u_INDF
koVlYlYalpadaxo koVlYlYu(V20)+alpadaxo_u_INDF
koVlYlYalpadavo koVlYlYu(V20)+alpadavo_u_INDF
koVlYlYalpadabeko koVlYlYu(V20)+alpadabeko_u_INDF
koVlYlYalpadakoVlYlYaxo koVlYlYu(V20)+alpadakoVlYlYaxo_u_INDF
koVlYlYalpadakUdaxo koVlYlYu(V20)+alpadakUdaxo_u_INDF
koVlYlYalpadalo koVlYlYu(V20)+alpadalo_u_INDF
koVlYlYalpadakoVlYlYaxo koVlYlYu(V20)+alpadakoVlYlYaxo_u_INDF
koVlYlYalpadabahuxo koVlYlYu(V20)+alpadabahuxo_u_INDF
koVlYlYalpadalebeko koVlYlYu(V20)+alpadalebeko_u_INDF
koVlYlYalpadalAraxo koVlYlYu(V20)+alpadalAraxo_u_INDF
koVlYlYalpadalAravo koVlYlYu(V20)+alpadalAravo_u_INDF
koVlYlYalpadaxanxo koVlYlYu(V20)+alpadaxanxo_u_INDF
koVlYlYalpadaxeVyo koVlYlYu(V20)+alpadaxeVyo_u_INDF
koVlYlYalpatto koVlYlYu(V20)+alpatto_u_INDF
koVlYlYalpadalo koVlYlYu(V20)+alpadalo_u_INDF
koVlYlYalpadalikko koVlYlYu(V20)+alpadalikko_u_INDF
koVlYlYalpattaro koVlYlYu(V20)+alpattaro_u_INDF
koVlYlYalpattalliyo koVlYlYu(V20)+alpattalliyo_u_INDF
koVlYlYuvuxe koVlYlYu(V20)+vuxe_#_IMP
koVlYlYuvuxakkeVye koVlYlYu(V20)+vuxakkeVye_#_IMP
koVlYlYale koVlYlYu(V20)+ale_u_IMPH
koVlYlYalikke koVlYlYu(V20)+alikke_u_IMP
koVlYlYalikkye koVlYlYu(V20)+alikkye_u_IMP
koVlYlYuwwale koVlYlYu(V20)+uwwale_u_IMP
koVlYlYuwwe koVlYlYu(V20)+wwe_#_IMP
koVlYlYalpaduvuxe koVlYlYu(V20)+alpaduvuxe_u_IMP
koVlYlYalpaduvuwwakkeye koVlYlYu(V20)+alpaduvuwwakkeye_u_IMP
koVlYlYalpatte koVlYlYu(V20)+alpatte_u_IMP
koVlYlYalpaduwwale koVlYlYu(V20)+alpaduwwale_u_IMP
koVlYlYuvuxU koVlYlYu(V20)+vuxU_#_INCL
koVMdarU koVlYlYu(V20)+MdarU_lYlYu_INCL
koVlYlYalU koVlYlYu(V20)+alU_u_INCL
koVlYlYalikkyU koVlYlYu(V20)+alikkyU_u_INCL
koVlYlYalikkU koVlYlYu(V20)+alikkU_u_INCL
koVlYlYanU koVlYlYu(V20)+anU_u_INCL
koVlYlYalYU koVlYlYu(V20)+alYU_u_INCL
koVlYlYaxU koVlYlYu(V20)+axU_u_INCL
koVlYlYarU koVlYlYu(V20)+arU_u_INCL
koVlYlYavU koVlYlYu(V20)+avU_u_INCL
koVMdarU koVlYlYu(V20)+MdarU_lYlYu_INCL
koVlYlYuwwalU koVlYlYu(V20)+uwwalU_u_INCL
koVMdalliyU koVlYlYu(V20)+MdalliyU_lYlYu_INCL
koVlYlYalpadaxanlU koVlYlYu(V20)+alpadaxanlU_u_INCL
koVlYlYalpadaxanveVyU koVlYlYu(V20)+alpadaxanveVyU_u_INCL
koVlYlYalpaduvuxU koVlYlYu(V20)+alpaduvuxU_u_INCL
koVlYlYalpaduvuvU koVlYlYu(V20)+alpaduvuvU_u_INCL
koVlYlYalpattarU koVlYlYu(V20)+alpattarU_u_INCL
koVlYlYalpaduwwalU koVlYlYu(V20)+alpaduwwalU_u_INCL
koVlYlYalpadalU koVlYlYu(V20)+alpadalU_u_INCL
koVlYlYalpadalikkeyU koVlYlYu(V20)+alpadalikkeyU_u_INCL
koVlYlYalpattalliyU koVlYlYu(V20)+alpattalliyU_u_INCL
koVlYlYuvuxannu koVlYlYu(V20)+vuxannu_#_ACC
koVlYlYuvuxariMxa koVlYlYu(V20)+vuxariMxa_#_INS
koVlYlYuvuxakkeV koVlYlYu(V20)+vuxakkeV_#_DAT
koVlYlYuvuxariMxa koVlYlYu(V20)+vuxariMxa_#_ABL
koVlYlYuvuxara koVlYlYu(V20)+vuxara_#_GEN
koVlYlYuvuxaralli koVlYlYu(V20)+vuxaralli_#_LOC
koVlYlYuvuxakkoskara koVlYlYu(V20)+vuxu_#_DAT+xakkoskara_xu_BEN
koVlYlYuvuxakkoskara koVlYlYu(V20)+vuxu_#_DAT+xakkoskara_xu_PUR
koVlYlYuvuxakkAgi koVlYlYu(V20)+vuxu_#_DAT+xakkAgi_xu_BEN
koVlYlYuvuxakkAgi koVlYlYu(V20)+vuxu_#_DAT+xakkAgi_xu_PUR
koVlYlYuvuxakkosuga koVlYlYu(V20)+vuxu_#_DAT+xakkosuga_xu_BEN
koVlYlYuvuxakkosuga koVlYlYu(V20)+vuxu_#_DAT+xakkosuga_xu_PUR
koVlYlYuvuxakkiMwa koVlYlYu(V20)+vuxu_#_DAT+xakkiMwa_xu_COMP
koVlYlYuvaMweV koVlYlYu(V20)+vaMweV_#_SIM
koVlYlYuvaMwa koVlYlYu(V20)+vaMwa_#_SIM
koVlYlYuvaMwaha koVlYlYu(V20)+vaMwaha_#_SIM
koVlYlYuvuxaroVdaneV koVlYlYu(V20)+vuxu_#_GEN+xaroVdaneV_xu_SOC
koVlYlYuvuxaroVMxigeV koVlYlYu(V20)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
koVlYlYuvavanannu koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
koVlYlYuvavanannA koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR






koVlYlYuvavanannU koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
koVlYlYuvavananno koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
koVlYlYuvavananno koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
koVlYlYuvavananno koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
koVlYlYuvavananne koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
koVlYlYuvavananne koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
koVlYlYuvavananne koVlYlYu(V20)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
koVlYlYuvavaniMxa koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
koVlYlYuvavaniMxalA koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
koVlYlYuvavaniMxalU koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
koVlYlYuvavanigeV koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
koVlYlYuvavanigeVyA koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
koVlYlYuvavanigeVyU koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
koVlYlYuvavanigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
koVlYlYuvavanigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
koVlYlYuvavanigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
koVlYlYuvavanigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
koVlYlYuvavanigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
koVlYlYuvavanigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
koVlYlYuvavaniMxa  koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
koVlYlYuvavaniMxalA koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
koVlYlYuvavaniMxalU koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
koVlYlYuvavaniMxalo koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
koVlYlYuvavaniMxale koVlYlYu(V20)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
koVlYlYuvavana koVlYlYu(V20)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
koVlYlYuvavanalli koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
koVlYlYuvavanalliyA koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
koVlYlYuvavanalliyU koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
koVlYlYuvavanalliyo koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
koVlYlYuvavanalliyo koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
koVlYlYuvavanalliyo koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
koVlYlYuvavanalliye koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
koVlYlYuvavanalliye koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
koVlYlYuvavanalliye koVlYlYu(V20)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
koVlYlYuvavanigoskara koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
koVlYlYuvavanigoskaravA koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
koVlYlYuvavanigoskaravU koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
koVlYlYuvavanigoskara koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
koVlYlYuvavanigoskaravA koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
koVlYlYuvavanigoskaravU koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
koVlYlYuvavanigoskaravo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
koVlYlYuvavanigoskarave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
koVlYlYuvavanigAgi koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
koVlYlYuvavanigAgiyA koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
koVlYlYuvavanigAgiyU koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
koVlYlYuvavanigAgi koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
koVlYlYuvavanigAgiyA koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
koVlYlYuvavanigAgiyU koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
koVlYlYuvavanigAgiyo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
koVlYlYuvavanigAgiye koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
koVlYlYuvavanigosuga koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
koVlYlYuvavanigosugavA koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
koVlYlYuvavanigosugavU koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
koVlYlYuvavanigosuga koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
koVlYlYuvavanigosugavA koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
koVlYlYuvavanigosugavU koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
koVlYlYuvavanigosugavo koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
koVlYlYuvavanigosugave koVlYlYu(V20)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
koVlYlYuvavanigiMwa koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
koVlYlYuvavanigiMwalA koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
koVlYlYuvavanigiMwalU koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
koVlYlYuvavanigiMwalo koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
koVlYlYuvavanigiMwalo koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
koVlYlYuvavanigiMwalo koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
koVlYlYuvavanigiMwale koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
koVlYlYuvavanigiMwale koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
koVlYlYuvavanigiMwale koVlYlYu(V20)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
koVlYlYuvavanaMweV koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
koVlYlYuvavanaMweVyA koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
koVlYlYuvavanaMweVyU koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
koVlYlYuvavanaMweVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
koVlYlYuvavanaMweVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
koVlYlYuvavanaMweVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
koVlYlYuvavanaMweVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
koVlYlYuvavanaMweVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
koVlYlYuvavanaMweVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
koVlYlYuvavanoVdaneV koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
koVlYlYuvavanoVdaneVyA koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
koVlYlYuvavanoVdaneVyU koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
koVlYlYuvavanoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
koVlYlYuvavanoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
koVlYlYuvavanoVdaneVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
koVlYlYuvavanoVdaneVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
koVlYlYuvavanoVdaneVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
koVlYlYuvavanoVdaneVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
koVlYlYuvavanoVMxigeV koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
koVlYlYuvavanoVMxigeVyA koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
koVlYlYuvavanoVMxigeVyU koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
koVlYlYuvavanoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
koVlYlYuvavanoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
koVlYlYuvavanoVMxigeVyo koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
koVlYlYuvavanoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
koVlYlYuvavanoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
koVlYlYuvavanoVMxigeVye koVlYlYu(V20)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
koVlYlYuvavalYannu koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
koVlYlYuvavalYannA koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
koVlYlYuvavalYannU koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
koVlYlYuvavalYanno koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
koVlYlYuvavalYanno koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
koVlYlYuvavalYanno koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
koVlYlYuvavalYanne koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
koVlYlYuvavalYanne koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
koVlYlYuvavalYanne koVlYlYu(V20)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
koVlYlYuvavalYiMxa koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
koVlYlYuvavalYiMxalA koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
koVlYlYuvavalYiMxalU koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
koVlYlYuvavalYigeV koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
koVlYlYuvavalYigeVyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
koVlYlYuvavalYigeVyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
koVlYlYuvavalYigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
koVlYlYuvavalYigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
koVlYlYuvavalYigeVyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
koVlYlYuvavalYigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
koVlYlYuvavalYigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
koVlYlYuvavalYigeVye koVlYlYu(V20)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
koVlYlYuvavalYiMxa  koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
koVlYlYuvavalYiMxalA koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
koVlYlYuvavalYiMxalU koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
koVlYlYuvavalYiMxalo koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
koVlYlYuvavalYiMxale koVlYlYu(V20)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
koVlYlYuvavalYa koVlYlYu(V20)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
koVlYlYuvavalYalli koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
koVlYlYuvavalYalliyA koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
koVlYlYuvavalYalliyU koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
koVlYlYuvavalYalliyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
koVlYlYuvavalYalliyo koVlYlYu(V20)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
