uwwanu ulYu(V1)+wwa_lYu_PAST+anu_a_3SM     
ulYanU ulYu(V1)+lYanU_lYu_INCL
ulYalYU ulYu(V1)+lYalYU_lYu_INCL
ulYaxU ulYu(V1)+lYaxU_lYu_INCL
ulYarU ulYu(V1)+lYarU_lYu_INCL
ulYavU ulYu(V1)+lYavU_lYu_INCL
uwwarU ulYu(V1)+wwarU_lYu_INCL
ulYuwwalU ulYu(V1)+lYuwwalU_lYu_INCL
uwwalliyU ulYu(V1)+wwalliyU_lYu_INCL
ulYalpaduwwalU ulYu(V1)+lYalpaduwwalU_lYu_INCL
ulYalpaduwwaveVyU ulYu(V1)+lYalpaduwwaveVyU_lYu_INCL
ulYalpaduvuxU ulYu(V1)+lYalpaduvuxU_lYu_INCL
ulYalpaduvuvU ulYu(V1)+lYalpaduvuvU_lYu_INCL
ulYalpattarU ulYu(V1)+lYalpattarU_lYu_INCL
ulYalpaduwwalU ulYu(V1)+lYalpaduwwalU_lYu_INCL
ulYalpadalU ulYu(V1)+lYalpadalU_lYu_INCL
ulYalpadalikkeyU ulYu(V1)+lYalpadalikkeyU_lYu_INCL
ulYalpattalliyU ulYu(V1)+lYalpattalliyU_lYu_INCL
ulYuvuxannu ulYu(V1)+vuxannu_#_ACC
ulYuvuxariMxa ulYu(V1)+vuxariMxa_#_INS
ulYuvuxakkeV ulYu(V1)+vuxakkeV_#_DAT
ulYuvuxariMxa ulYu(V1)+vuxariMxa_#_ABL
ulYuvuxara ulYu(V1)+vuxara_#_GEN
ulYuvuxaralli ulYu(V1)+vuxaralli_#_LOC
ulYuvuxakkoskara ulYu(V1)+vuxu_#_DAT+xakkoskara_xu_BEN
ulYuvuxakkoskara ulYu(V1)+vuxu_#_DAT+xakkoskara_xu_PUR
ulYuvuxakkAgi ulYu(V1)+vuxu_#_DAT+xakkAgi_xu_BEN
ulYuvuxakkAgi ulYu(V1)+vuxu_#_DAT+xakkAgi_xu_PUR
ulYuvuxakkosuga ulYu(V1)+vuxu_#_DAT+xakkosuga_xu_BEN
ulYuvuxakkosuga ulYu(V1)+vuxu_#_DAT+xakkosuga_xu_PUR
ulYuvuxakkiMwa ulYu(V1)+vuxu_#_DAT+xakkiMwa_xu_COMP
ulYuvaMweV ulYu(V1)+vaMweV_#_SIM
ulYuvaMwa ulYu(V1)+vaMwa_#_SIM
ulYuvaMwaha ulYu(V1)+vaMwaha_#_SIM
ulYuvuxaroVdaneV ulYu(V1)+vuxu_#_GEN+xaroVdaneV_xu_SOC
ulYuvuxaroVMxigeV ulYu(V1)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
ulYuvavanannu ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nannu_nu_3SM
ulYuvavanannA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nannA_nu_INTR
ulYuvavanannU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nannU_nu_INCL
ulYuvavananno ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanno_nu_DUB
ulYuvavananno ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanno_nu_INDF
ulYuvavananno ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanno_nu_PRES
ulYuvavananne ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanne_nu_IMPH
ulYuvavananne ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanne_nu_DECL
ulYuvavananne ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ACC+nanne_nu_RIS
ulYuvavaniMxa ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxa_nu_3SM
ulYuvavaniMxalA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxalA_nu_INTR
ulYuvavaniMxalU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxalU_nu_INCL
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxalo_nu_DUB
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxalo_nu_INDF
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxalo_nu_PRES
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxale_nu_IMPH
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxale_nu_DECL
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_INS+niMxale_nu_RIS
ulYuvavanigeV ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeV_nu_3SM
ulYuvavanigeVyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
ulYuvavanigeVyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
ulYuvavanigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
ulYuvavanigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
ulYuvavanigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
ulYuvavanigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
ulYuvavanigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
ulYuvavanigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
ulYuvavaniMxa  ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxa_nu_3SM
ulYuvavaniMxalA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxalA_nu_INTR
ulYuvavaniMxalU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxalU_nu_INCL
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxalo_nu_DUB
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxalo_nu_INDF
ulYuvavaniMxalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxalo_nu_PRES
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxale_nu_IMPH
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxale_nu_DECL
ulYuvavaniMxale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_ABL+niMxale_nu_RIS
ulYuvavana ulYu(V1)+lYuva_lYu_PRP+vavanu_va_GEN+na_nu_3SM
ulYuvavanalli ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalli_nu_3SM
ulYuvavanalliyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
ulYuvavanalliyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
ulYuvavanalliyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
ulYuvavanalliyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
ulYuvavanalliyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
ulYuvavanalliye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
ulYuvavanalliye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliye_nu_DECL
ulYuvavanalliye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_LOC+nalliye_nu_RIS
ulYuvavanigoskara ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskara_nu_3SM
ulYuvavanigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
ulYuvavanigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
ulYuvavanigoskara ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskara_nu_3SM
ulYuvavanigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
ulYuvavanigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
ulYuvavanigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
ulYuvavanigoskarave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
ulYuvavanigAgi ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgi_nu_3SM
ulYuvavanigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
ulYuvavanigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
ulYuvavanigAgi ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgi_nu_3SM
ulYuvavanigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
ulYuvavanigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
ulYuvavanigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
ulYuvavanigAgiye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
ulYuvavanigosuga ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
ulYuvavanigosugavA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
ulYuvavanigosugavU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
ulYuvavanigosuga ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
ulYuvavanigosugavA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
ulYuvavanigosugavU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
ulYuvavanigosugavo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
ulYuvavanigosugave ulYu(V1)+lYuva_lYu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
ulYuvavanigiMwa ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
ulYuvavanigiMwalA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
ulYuvavanigiMwalU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
ulYuvavanigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
ulYuvavanigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
ulYuvavanigiMwalo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
ulYuvavanigiMwale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
ulYuvavanigiMwale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
ulYuvavanigiMwale ulYu(V1)+lYuva_lYu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
ulYuvavanaMweV ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweV_nu_3SM
ulYuvavanaMweVyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
ulYuvavanaMweVyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
ulYuvavanaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
ulYuvavanaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
ulYuvavanaMweVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
ulYuvavanaMweVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
ulYuvavanaMweVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
ulYuvavanaMweVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
ulYuvavanoVdaneV ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
ulYuvavanoVdaneVyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
ulYuvavanoVdaneVyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
ulYuvavanoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
ulYuvavanoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
ulYuvavanoVdaneVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
ulYuvavanoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
ulYuvavanoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
ulYuvavanoVdaneVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
ulYuvavanoVMxigeV ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
ulYuvavanoVMxigeVyA ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
ulYuvavanoVMxigeVyU ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
ulYuvavanoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
ulYuvavanoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
ulYuvavanoVMxigeVyo ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
ulYuvavanoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
ulYuvavanoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
ulYuvavanoVMxigeVye ulYu(V1)+lYuva_lYu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
ulYuvavalYannU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYannU_lYu_3SF
ulYuvavalYannA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
ulYuvavalYannU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
ulYuvavalYanno ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
ulYuvavalYanno ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
ulYuvavalYanno ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
ulYuvavalYanne ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
ulYuvavalYanne ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
ulYuvavalYanne ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
ulYuvavalYiMxa ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
ulYuvavalYiMxalA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
ulYuvavalYiMxalU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
ulYuvavalYigeV ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
ulYuvavalYigeVyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
ulYuvavalYigeVyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
ulYuvavalYigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
ulYuvavalYigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
ulYuvavalYigeVyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
ulYuvavalYigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
ulYuvavalYigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
ulYuvavalYigeVye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
ulYuvavalYiMxa  ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
ulYuvavalYiMxalA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
ulYuvavalYiMxalU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
ulYuvavalYiMxalo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
ulYuvavalYiMxale ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
ulYuvavalYa ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_GEN+lYa_lYu_3SF
ulYuvavalYalli ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
ulYuvavalYalliyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
ulYuvavalYalliyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
ulYuvavalYalliyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
ulYuvavalYalliyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
ulYuvavalYalliyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
ulYuvavalYalliye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
ulYuvavalYalliye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
ulYuvavalYalliye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
ulYuvavalYigoskara ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
ulYuvavalYigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
ulYuvavalYigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
ulYuvavalYigoskara ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
ulYuvavalYigoskaravA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
ulYuvavalYigoskaravU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
ulYuvavalYigoskaravo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
ulYuvavalYigoskarave ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
ulYuvavalYigAgi ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
ulYuvavalYigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
ulYuvavalYigAgiyU ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
ulYuvavalYigAgiyo ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
ulYuvavalYigAgiye ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
ulYuvavalYigAgi ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
ulYuvavalYigAgiyA ulYu(V1)+lYuva_lYu_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
