oVNagisixanu oVNagisu(V34)+ixa_u_PAST+anu_a_3SM   
oVNagisalpadalAravo oVNagisu(V34)+alpadalAravo_u_INDF
oVNagisalpadaxanxo oVNagisu(V34)+alpadaxanxo_u_INDF
oVNagisalpadaxeVyo oVNagisu(V34)+alpadaxeVyo_u_INDF
oVNagisalpatto oVNagisu(V34)+alpatto_u_INDF
oVNagisalpadalo oVNagisu(V34)+alpadalo_u_INDF
oVNagisalpadalikko oVNagisu(V34)+alpadalikko_u_INDF
oVNagisalpattaro oVNagisu(V34)+alpattaro_u_INDF
oVNagisalpattalliyo oVNagisu(V34)+alpattalliyo_u_INDF
oVNagisuvuxe oVNagisu(V34)+vuxe_#_IMP
oVNagisuvuxakkeVye oVNagisu(V34)+vuxakkeVye_#_IMP
oVNagisale oVNagisu(V34)+ale_u_IMPH
oVNagisalikke oVNagisu(V34)+alikke_u_IMP
oVNagisalikkye oVNagisu(V34)+alikkye_u_IMP
oVNagisuwwale oVNagisu(V34)+uwwale_u_IMP
oVNagisuwwe oVNagisu(V34)+wwe_#_IMP
oVNagisalpaduvuxe oVNagisu(V34)+alpaduvuxe_u_IMP
oVNagisalpaduvuwwakkeye oVNagisu(V34)+alpaduvuwwakkeye_u_IMP
oVNagisalpatte oVNagisu(V34)+alpatte_u_IMP
oVNagisalpaduwwale oVNagisu(V34)+alpaduwwale_u_IMP
oVNagisuvuxU oVNagisu(V34)+vuxU_#_INCL
oVNagisixarU oVNagisu(V34)+ixarU_u_INCL
oVNagisalU oVNagisu(V34)+alU_u_INCL
oVNagisalikkyU oVNagisu(V34)+alikkyU_u_INCL
oVNagisalikkU oVNagisu(V34)+alikkU_u_INCL
oVNagisanU oVNagisu(V34)+anU_u_INCL
oVNagisalYU oVNagisu(V34)+alYU_u_INCL
oVNagisaxU oVNagisu(V34)+axU_u_INCL
oVNagisarU oVNagisu(V34)+arU_u_INCL
oVNagisavU oVNagisu(V34)+avU_u_INCL
oVNagisixarU oVNagisu(V34)+ixarU_u_INCL
oVNagisuwwalU oVNagisu(V34)+uwwalU_u_INCL
oVNagisixalliyU oVNagisu(V34)+ixalliyU_u_INCL
oVNagisalpadaxanlU oVNagisu(V34)+alpadaxanlU_u_INCL
oVNagisalpadaxanveVyU oVNagisu(V34)+alpadaxanveVyU_u_INCL
oVNagisalpaduvuxU oVNagisu(V34)+alpaduvuxU_u_INCL
oVNagisalpaduvuvU oVNagisu(V34)+alpaduvuvU_u_INCL
oVNagisalpattarU oVNagisu(V34)+alpattarU_u_INCL
oVNagisalpaduwwalU oVNagisu(V34)+alpaduwwalU_u_INCL
oVNagisalpadalU oVNagisu(V34)+alpadalU_u_INCL
oVNagisalpadalikkeyU oVNagisu(V34)+alpadalikkeyU_u_INCL
oVNagisalpattalliyU oVNagisu(V34)+alpattalliyU_u_INCL
oVNagisuvuxannu oVNagisu(V34)+vuxannu_#_ACC
oVNagisuvuxariMxa oVNagisu(V34)+vuxariMxa_#_INS
oVNagisuvuxakkeV oVNagisu(V34)+vuxakkeV_#_DAT
oVNagisuvuxariMxa oVNagisu(V34)+vuxariMxa_#_ABL
oVNagisuvuxara oVNagisu(V34)+vuxara_#_GEN
oVNagisuvuxaralli oVNagisu(V34)+vuxaralli_#_LOC
oVNagisuvuxakkoskara oVNagisu(V34)+vuxu_#_DAT+xakkoskara_xu_BEN
oVNagisuvuxakkoskara oVNagisu(V34)+vuxu_#_DAT+xakkoskara_xu_PUR
oVNagisuvuxaixagi oVNagisu(V34)+vuxu_#_DAT+xaixagi_xu_BEN
oVNagisuvuxaixagi oVNagisu(V34)+vuxu_#_DAT+xaixagi_xu_PUR
oVNagisuvuxakkosuga oVNagisu(V34)+vuxu_#_DAT+xakkosuga_xu_BEN
oVNagisuvuxakkosuga oVNagisu(V34)+vuxu_#_DAT+xakkosuga_xu_PUR
oVNagisuvuxakkiMwa oVNagisu(V34)+vuxu_#_DAT+xakkiMwa_xu_COMP
oVNagisuvaMweV oVNagisu(V34)+vaMweV_#_SIM
oVNagisuvaMwa oVNagisu(V34)+vaMwa_#_SIM
oVNagisuvaMwaha oVNagisu(V34)+vaMwaha_#_SIM
oVNagisuvuxaroVdaneV oVNagisu(V34)+vuxu_#_GEN+xaroVdaneV_xu_SOC
oVNagisuvuxaroVMxigeV oVNagisu(V34)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
oVNagisuvavanannu oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
oVNagisuvavanannA oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
oVNagisuvavanannU oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
oVNagisuvavananno oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
oVNagisuvavananno oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
oVNagisuvavananno oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
oVNagisuvavananne oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
oVNagisuvavananne oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
oVNagisuvavananne oVNagisu(V34)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
oVNagisuvavaniMxa oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
oVNagisuvavaniMxalA oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
oVNagisuvavaniMxalU oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
oVNagisuvavanigeV oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
oVNagisuvavanigeVyA oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
oVNagisuvavanigeVyU oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
oVNagisuvavanigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
oVNagisuvavanigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
oVNagisuvavanigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
oVNagisuvavanigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
oVNagisuvavanigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
oVNagisuvavanigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
oVNagisuvavaniMxa  oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
oVNagisuvavaniMxalA oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
oVNagisuvavaniMxalU oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
oVNagisuvavaniMxalo oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
oVNagisuvavaniMxale oVNagisu(V34)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
oVNagisuvavana oVNagisu(V34)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
oVNagisuvavanalli oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
oVNagisuvavanalliyA oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
oVNagisuvavanalliyU oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
oVNagisuvavanalliyo oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
oVNagisuvavanalliyo oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
oVNagisuvavanalliyo oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
oVNagisuvavanalliye oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
oVNagisuvavanalliye oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
oVNagisuvavanalliye oVNagisu(V34)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
oVNagisuvavanigoskara oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
oVNagisuvavanigoskaravA oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
oVNagisuvavanigoskaravU oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
oVNagisuvavanigoskara oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
oVNagisuvavanigoskaravA oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
oVNagisuvavanigoskaravU oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
oVNagisuvavanigoskaravo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
oVNagisuvavanigoskarave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
oVNagisuvavanigAgi oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
oVNagisuvavanigAgiyA oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
oVNagisuvavanigAgiyU oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
oVNagisuvavanigAgi oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
oVNagisuvavanigAgiyA oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
oVNagisuvavanigAgiyU oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
oVNagisuvavanigAgiyo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
oVNagisuvavanigAgiye oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
oVNagisuvavanigosuga oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
oVNagisuvavanigosugavA oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
oVNagisuvavanigosugavU oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
oVNagisuvavanigosuga oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
oVNagisuvavanigosugavA oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
oVNagisuvavanigosugavU oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
oVNagisuvavanigosugavo oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
oVNagisuvavanigosugave oVNagisu(V34)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
oVNagisuvavanigiMwa oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
oVNagisuvavanigiMwalA oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
oVNagisuvavanigiMwalU oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
oVNagisuvavanigiMwalo oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
oVNagisuvavanigiMwalo oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
oVNagisuvavanigiMwalo oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
oVNagisuvavanigiMwale oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
oVNagisuvavanigiMwale oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
oVNagisuvavanigiMwale oVNagisu(V34)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
oVNagisuvavanaMweV oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
oVNagisuvavanaMweVyA oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
oVNagisuvavanaMweVyU oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
oVNagisuvavanaMweVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
oVNagisuvavanaMweVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
oVNagisuvavanaMweVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
oVNagisuvavanaMweVye oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
oVNagisuvavanaMweVye oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
oVNagisuvavanaMweVye oVNagisu(V34)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
oVNagisuvavanoVdaneV oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
oVNagisuvavanoVdaneVyA oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
oVNagisuvavanoVdaneVyU oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
oVNagisuvavanoVdaneVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
oVNagisuvavanoVdaneVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
oVNagisuvavanoVdaneVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
oVNagisuvavanoVdaneVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
oVNagisuvavanoVdaneVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
oVNagisuvavanoVdaneVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
oVNagisuvavanoVMxigeV oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
oVNagisuvavanoVMxigeVyA oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
oVNagisuvavanoVMxigeVyU oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
oVNagisuvavanoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
oVNagisuvavanoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
oVNagisuvavanoVMxigeVyo oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
oVNagisuvavanoVMxigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
oVNagisuvavanoVMxigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
oVNagisuvavanoVMxigeVye oVNagisu(V34)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
oVNagisuvavalYannu oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
oVNagisuvavalYannA oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
oVNagisuvavalYannU oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
oVNagisuvavalYanno oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
oVNagisuvavalYanno oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
oVNagisuvavalYanno oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
oVNagisuvavalYanne oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
oVNagisuvavalYanne oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
oVNagisuvavalYanne oVNagisu(V34)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
oVNagisuvavalYiMxa oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
oVNagisuvavalYiMxalA oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
oVNagisuvavalYiMxalU oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
oVNagisuvavalYigeV oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
oVNagisuvavalYigeVyA oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
oVNagisuvavalYigeVyU oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
oVNagisuvavalYigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
oVNagisuvavalYigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
oVNagisuvavalYigeVyo oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
oVNagisuvavalYigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
oVNagisuvavalYigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
oVNagisuvavalYigeVye oVNagisu(V34)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
oVNagisuvavalYiMxa  oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
oVNagisuvavalYiMxalA oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
oVNagisuvavalYiMxalU oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
oVNagisuvavalYiMxalo oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
oVNagisuvavalYiMxale oVNagisu(V34)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
oVNagisuvavalYa oVNagisu(V34)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
oVNagisuvavalYalli oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
oVNagisuvavalYalliyA oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
oVNagisuvavalYalliyU oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
oVNagisuvavalYalliyo oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
oVNagisuvavalYalliyo oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
oVNagisuvavalYalliyo oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
oVNagisuvavalYalliye oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
oVNagisuvavalYalliye oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
oVNagisuvavalYalliye oVNagisu(V34)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
oVNagisuvavalYigoskara oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
oVNagisuvavalYigoskaravA oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
oVNagisuvavalYigoskaravU oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
oVNagisuvavalYigoskara oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
oVNagisuvavalYigoskaravA oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
oVNagisuvavalYigoskaravU oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
oVNagisuvavalYigoskaravo oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
oVNagisuvavalYigoskarave oVNagisu(V34)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
oVNagisuvavalYigAgi oVNagisu(V34)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
