kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVlYlYalArave kEgoVlYlYu(V32)+alArave_u_INTR
kEgoVlYlYakEgoVlYlYane kEgoVlYlYu(V32)+akEgoVlYlYane_u_INTR
kEgoVlYlYakEgoVlYlYalYe kEgoVlYlYu(V32)+akEgoVlYlYalYe_u_INTR
kEgoVlYlYakEgoVlYlYaxe kEgoVlYlYu(V32)+akEgoVlYlYaxe_u_INTR
kEgoVlYlYakEgoVlYlYare kEgoVlYlYu(V32)+akEgoVlYlYare_u_INTR
kEgoVlYlYakEgoVlYlYave kEgoVlYlYu(V32)+akEgoVlYlYave_u_INTR
kEgoVlYlYabahuxe kEgoVlYlYu(V32)+abahuxe_u_INTR
kEgoVlYlYalebeke kEgoVlYlYu(V32)+alebeke_u_INTR
kEgoVlYlYalpattiwe kEgoVlYlYu(V32)+alpattiwe_u_INTR
kEgoVlYlYalpattave kEgoVlYlYu(V32)+alpattave_u_INTR
kEgoVlYlYalpadaxe kEgoVlYlYu(V32)+alpadaxe_u_INTR
kEgoVlYlYalpadave kEgoVlYlYu(V32)+alpadave_u_INTR
kEgoVlYlYalpaduvuxe kEgoVlYlYu(V32)+alpaduvuxe_u_INTR
kEgoVlYlYalpaduvuve kEgoVlYlYu(V32)+alpaduvuve_u_INTR
kEgoVlYlYalpadaxe kEgoVlYlYu(V32)+alpadaxe_u_INTR
kEgoVlYlYalpadave kEgoVlYlYu(V32)+alpadave_u_INTR
kEgoVlYlYalpadabeke kEgoVlYlYu(V32)+alpadabeke_u_INTR
kEgoVlYlYalpadabAraxe kEgoVlYlYu(V32)+alpadabAraxe_u_INTR
kEgoVlYlYalpadakUdaxe kEgoVlYlYu(V32)+alpadakUdaxe_u_INTR

kEgoVlYlYalpadabahuxe kEgoVlYlYu(V32)+alpadabahuxe_u_INTR
kEgoVlYlYalpadalebeke kEgoVlYlYu(V32)+alpadalebeke_u_INTR
kEgoVlYlYalpadalAraxe kEgoVlYlYu(V32)+alpadalAraxe_u_INTR
kEgoVlYlYalpadalArave kEgoVlYlYu(V32)+alpadalArave_u_INTR
kEgoVMdano kEgoVlYlYu(V32)+Mdano_lYlYu_INDF
kEgoVMdalYo kEgoVlYlYu(V32)+MdalYo_lYlYu_INDF
kEgoVMdiwo kEgoVlYlYu(V32)+Mdiwo_lYlYu_INDF
kEgoVMdaro kEgoVlYlYu(V32)+Mdaro_lYlYu_INDF
kEgoVMdavo kEgoVlYlYu(V32)+Mdavo_lYlYu_INDF
kEgoVlYlYuwwAno kEgoVlYlYu(V32)+wwAno_#_INDF
kEgoVlYlYuwwAlYo kEgoVlYlYu(V32)+wwAlYo_#_INDF
kEgoVlYlYuwwaxeVyo kEgoVlYlYu(V32)+uwwaxeVyo_u_INDF
kEgoVlYlYuvano kEgoVlYlYu(V32)+vano_#_INDF
kEgoVlYlYuvalYo kEgoVlYlYu(V32)+valYo_#_INDF
kEgoVlYlYuvuxo kEgoVlYlYu(V32)+vuxo_#_INDF
kEgoVlYlYuvaro kEgoVlYlYu(V32)+varo_#_INDF
kEgoVlYlYuvuvo kEgoVlYlYu(V32)+vuvo_#_INDF
kEgoVlYlYuvuxo kEgoVlYlYu(V32)+vuxo_#_INDF
kEgoVlYlYalo kEgoVlYlYu(V32)+alo_u_INDF
kEgoVlYlYalikko kEgoVlYlYu(V32)+alikko_u_INDF
kEgoVlYlYabeko kEgoVlYlYu(V32)+abeko_u_INDF
kEgoVlYlYakUdaxo kEgoVlYlYu(V32)+akUdaxo_u_INDF
kEgoVlYlYaballaxo kEgoVlYlYu(V32)+aballaxo_u_INDF
kEgoVlYlYano kEgoVlYlYu(V32)+ano_u_INDF
kEgoVlYlYalYo kEgoVlYlYu(V32)+alYo_u_INDF
kEgoVlYlYaxo kEgoVlYlYu(V32)+axo_u_INDF
kEgoVlYlYaro kEgoVlYlYu(V32)+aro_u_INDF
kEgoVlYlYavo kEgoVlYlYu(V32)+avo_u_INDF
kEgoVlYlYalArano kEgoVlYlYu(V32)+alArano_u_INDF
kEgoVlYlYalAralYo kEgoVlYlYu(V32)+alAralYo_u_INDF
kEgoVlYlYalAraxo kEgoVlYlYu(V32)+alAraxo_u_INDF
kEgoVlYlYalAraro kEgoVlYlYu(V32)+alAraro_u_INDF
kEgoVlYlYalAravo kEgoVlYlYu(V32)+alAravo_u_INDF
kEgoVlYlYaballano kEgoVlYlYu(V32)+aballano_u_INDF
kEgoVlYlYaballalYo kEgoVlYlYu(V32)+aballalYo_u_INDF
kEgoVlYlYaballaxo kEgoVlYlYu(V32)+aballaxo_u_INDF
kEgoVlYlYaballaro kEgoVlYlYu(V32)+aballaro_u_INDF
kEgoVlYlYaballavo kEgoVlYlYu(V32)+aballavo_u_INDF
kEgoVlYlYalpattiwo kEgoVlYlYu(V32)+alpattiwo_u_INDF
kEgoVlYlYalpattavo kEgoVlYlYu(V32)+alpattavo_u_INDF
kEgoVlYlYalpaduwwaxo kEgoVlYlYu(V32)+alpaduwwaxo_u_INDF
kEgoVlYlYalpaduwwaveyo kEgoVlYlYu(V32)+alpaduwwaveyo_u_INDF
kEgoVlYlYalpaduvuxo kEgoVlYlYu(V32)+alpaduvuxo_u_INDF
kEgoVlYlYalpaduvuvo kEgoVlYlYu(V32)+alpaduvuvo_u_INDF
kEgoVlYlYalpadaxo kEgoVlYlYu(V32)+alpadaxo_u_INDF
kEgoVlYlYalpadavo kEgoVlYlYu(V32)+alpadavo_u_INDF
kEgoVlYlYalpadabeko kEgoVlYlYu(V32)+alpadabeko_u_INDF
kEgoVlYlYalpadakEgoVlYlYaxo kEgoVlYlYu(V32)+alpadakEgoVlYlYaxo_u_INDF
kEgoVlYlYalpadakUdaxo kEgoVlYlYu(V32)+alpadakUdaxo_u_INDF
kEgoVlYlYalpadalo kEgoVlYlYu(V32)+alpadalo_u_INDF
kEgoVlYlYalpadakEgoVlYlYaxo kEgoVlYlYu(V32)+alpadakEgoVlYlYaxo_u_INDF
kEgoVlYlYalpadabahuxo kEgoVlYlYu(V32)+alpadabahuxo_u_INDF
kEgoVlYlYalpadalebeko kEgoVlYlYu(V32)+alpadalebeko_u_INDF
kEgoVlYlYalpadalAraxo kEgoVlYlYu(V32)+alpadalAraxo_u_INDF
kEgoVlYlYalpadalAravo kEgoVlYlYu(V32)+alpadalAravo_u_INDF
kEgoVlYlYalpadaxanxo kEgoVlYlYu(V32)+alpadaxanxo_u_INDF
kEgoVlYlYalpadaxeVyo kEgoVlYlYu(V32)+alpadaxeVyo_u_INDF
kEgoVlYlYalpatto kEgoVlYlYu(V32)+alpatto_u_INDF
kEgoVlYlYalpadalo kEgoVlYlYu(V32)+alpadalo_u_INDF
kEgoVlYlYalpadalikko kEgoVlYlYu(V32)+alpadalikko_u_INDF
kEgoVlYlYalpattaro kEgoVlYlYu(V32)+alpattaro_u_INDF
kEgoVlYlYalpattalliyo kEgoVlYlYu(V32)+alpattalliyo_u_INDF
kEgoVlYlYuvuxe kEgoVlYlYu(V32)+vuxe_#_IMP
kEgoVlYlYuvuxakkeVye kEgoVlYlYu(V32)+vuxakkeVye_#_IMP
kEgoVlYlYale kEgoVlYlYu(V32)+ale_u_IMPH
kEgoVlYlYalikke kEgoVlYlYu(V32)+alikke_u_IMP
kEgoVlYlYalikkye kEgoVlYlYu(V32)+alikkye_u_IMP
kEgoVlYlYuwwale kEgoVlYlYu(V32)+uwwale_u_IMP
kEgoVlYlYuwwe kEgoVlYlYu(V32)+wwe_#_IMP
kEgoVlYlYalpaduvuxe kEgoVlYlYu(V32)+alpaduvuxe_u_IMP
kEgoVlYlYalpaduvuwwakkeye kEgoVlYlYu(V32)+alpaduvuwwakkeye_u_IMP
kEgoVlYlYalpatte kEgoVlYlYu(V32)+alpatte_u_IMP
kEgoVlYlYalpaduwwale kEgoVlYlYu(V32)+alpaduwwale_u_IMP
kEgoVlYlYuvuxU kEgoVlYlYu(V32)+vuxU_#_INCL
kEgoVMdarU kEgoVlYlYu(V32)+MdarU_lYlYu_INCL
kEgoVlYlYalU kEgoVlYlYu(V32)+alU_u_INCL
kEgoVlYlYalikkyU kEgoVlYlYu(V32)+alikkyU_u_INCL
kEgoVlYlYalikkU kEgoVlYlYu(V32)+alikkU_u_INCL
kEgoVlYlYanU kEgoVlYlYu(V32)+anU_u_INCL
kEgoVlYlYalYU kEgoVlYlYu(V32)+alYU_u_INCL
kEgoVlYlYaxU kEgoVlYlYu(V32)+axU_u_INCL
kEgoVlYlYarU kEgoVlYlYu(V32)+arU_u_INCL
kEgoVlYlYavU kEgoVlYlYu(V32)+avU_u_INCL
kEgoVMdarU kEgoVlYlYu(V32)+MdarU_lYlYu_INCL
kEgoVlYlYuwwalU kEgoVlYlYu(V32)+uwwalU_u_INCL
kEgoVMdalliyU kEgoVlYlYu(V32)+MdalliyU_lYlYu_INCL
kEgoVlYlYalpadaxanlU kEgoVlYlYu(V32)+alpadaxanlU_u_INCL
kEgoVlYlYalpadaxanveVyU kEgoVlYlYu(V32)+alpadaxanveVyU_u_INCL
kEgoVlYlYalpaduvuxU kEgoVlYlYu(V32)+alpaduvuxU_u_INCL
kEgoVlYlYalpaduvuvU kEgoVlYlYu(V32)+alpaduvuvU_u_INCL
kEgoVlYlYalpattarU kEgoVlYlYu(V32)+alpattarU_u_INCL
kEgoVlYlYalpaduwwalU kEgoVlYlYu(V32)+alpaduwwalU_u_INCL
kEgoVlYlYalpadalU kEgoVlYlYu(V32)+alpadalU_u_INCL
kEgoVlYlYalpadalikkeyU kEgoVlYlYu(V32)+alpadalikkeyU_u_INCL
kEgoVlYlYalpattalliyU kEgoVlYlYu(V32)+alpattalliyU_u_INCL
kEgoVlYlYuvuxannu kEgoVlYlYu(V32)+vuxannu_#_ACC
kEgoVlYlYuvuxariMxa kEgoVlYlYu(V32)+vuxariMxa_#_INS
kEgoVlYlYuvuxakkeV kEgoVlYlYu(V32)+vuxakkeV_#_DAT
kEgoVlYlYuvuxariMxa kEgoVlYlYu(V32)+vuxariMxa_#_ABL
kEgoVlYlYuvuxara kEgoVlYlYu(V32)+vuxara_#_GEN
kEgoVlYlYuvuxaralli kEgoVlYlYu(V32)+vuxaralli_#_LOC
kEgoVlYlYuvuxakkoskara kEgoVlYlYu(V32)+vuxu_#_DAT+xakkoskara_xu_BEN
kEgoVlYlYuvuxakkoskara kEgoVlYlYu(V32)+vuxu_#_DAT+xakkoskara_xu_PUR
kEgoVlYlYuvuxakkAgi kEgoVlYlYu(V32)+vuxu_#_DAT+xakkAgi_xu_BEN
kEgoVlYlYuvuxakkAgi kEgoVlYlYu(V32)+vuxu_#_DAT+xakkAgi_xu_PUR
kEgoVlYlYuvuxakkosuga kEgoVlYlYu(V32)+vuxu_#_DAT+xakkosuga_xu_BEN
kEgoVlYlYuvuxakkosuga kEgoVlYlYu(V32)+vuxu_#_DAT+xakkosuga_xu_PUR
kEgoVlYlYuvuxakkiMwa kEgoVlYlYu(V32)+vuxu_#_DAT+xakkiMwa_xu_COMP
kEgoVlYlYuvaMweV kEgoVlYlYu(V32)+vaMweV_#_SIM
kEgoVlYlYuvaMwa kEgoVlYlYu(V32)+vaMwa_#_SIM
kEgoVlYlYuvaMwaha kEgoVlYlYu(V32)+vaMwaha_#_SIM
kEgoVlYlYuvuxaroVdaneV kEgoVlYlYu(V32)+vuxu_#_GEN+xaroVdaneV_xu_SOC
kEgoVlYlYuvuxaroVMxigeV kEgoVlYlYu(V32)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
kEgoVlYlYuvavanannu kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
kEgoVlYlYuvavanannA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR






kEgoVlYlYuvavanannU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
kEgoVlYlYuvavananno kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
kEgoVlYlYuvavananno kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
kEgoVlYlYuvavananno kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
kEgoVlYlYuvavananne kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
kEgoVlYlYuvavananne kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
kEgoVlYlYuvavananne kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
kEgoVlYlYuvavaniMxa kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
kEgoVlYlYuvavaniMxalA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
kEgoVlYlYuvavaniMxalU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
kEgoVlYlYuvavanigeV kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
kEgoVlYlYuvavanigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
kEgoVlYlYuvavanigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
kEgoVlYlYuvavanigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
kEgoVlYlYuvavanigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
kEgoVlYlYuvavanigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
kEgoVlYlYuvavanigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
kEgoVlYlYuvavanigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
kEgoVlYlYuvavanigeVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
kEgoVlYlYuvavaniMxa  kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
kEgoVlYlYuvavaniMxalA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
kEgoVlYlYuvavaniMxalU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
kEgoVlYlYuvavaniMxalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
kEgoVlYlYuvavaniMxale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
kEgoVlYlYuvavana kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
kEgoVlYlYuvavanalli kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
kEgoVlYlYuvavanalliyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
kEgoVlYlYuvavanalliyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
kEgoVlYlYuvavanalliyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
kEgoVlYlYuvavanalliyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
kEgoVlYlYuvavanalliyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
kEgoVlYlYuvavanalliye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
kEgoVlYlYuvavanalliye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
kEgoVlYlYuvavanalliye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
kEgoVlYlYuvavanigoskara kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
kEgoVlYlYuvavanigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
kEgoVlYlYuvavanigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
kEgoVlYlYuvavanigoskara kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
kEgoVlYlYuvavanigoskaravA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
kEgoVlYlYuvavanigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
kEgoVlYlYuvavanigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
kEgoVlYlYuvavanigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
kEgoVlYlYuvavanigAgi kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
kEgoVlYlYuvavanigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
kEgoVlYlYuvavanigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
kEgoVlYlYuvavanigAgi kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
kEgoVlYlYuvavanigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
kEgoVlYlYuvavanigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
kEgoVlYlYuvavanigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
kEgoVlYlYuvavanigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
kEgoVlYlYuvavanigosuga kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
kEgoVlYlYuvavanigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
kEgoVlYlYuvavanigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
kEgoVlYlYuvavanigosuga kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
kEgoVlYlYuvavanigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
kEgoVlYlYuvavanigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
kEgoVlYlYuvavanigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
kEgoVlYlYuvavanigosugave kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
kEgoVlYlYuvavanigiMwa kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
kEgoVlYlYuvavanigiMwalA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
kEgoVlYlYuvavanigiMwalU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
kEgoVlYlYuvavanigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
kEgoVlYlYuvavanigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
kEgoVlYlYuvavanigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
kEgoVlYlYuvavanigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
kEgoVlYlYuvavanigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
kEgoVlYlYuvavanigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
kEgoVlYlYuvavanaMweV kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
kEgoVlYlYuvavanaMweVyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
kEgoVlYlYuvavanaMweVyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
kEgoVlYlYuvavanaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
kEgoVlYlYuvavanaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
kEgoVlYlYuvavanaMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
kEgoVlYlYuvavanaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
kEgoVlYlYuvavanaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
kEgoVlYlYuvavanaMweVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
kEgoVlYlYuvavanoVdaneV kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
kEgoVlYlYuvavanoVdaneVyA kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
kEgoVlYlYuvavanoVdaneVyU kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
kEgoVlYlYuvavanoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
kEgoVlYlYuvavanoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
kEgoVlYlYuvavanoVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
kEgoVlYlYuvavanoVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
